target_id,ranking_mode,rank,score,selected,ablation_group,schema_version
distributed_affine_divisor__target,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
distributed_affine_divisor__target,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
distributed_affine_divisor__target,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
distributed_affine_divisor__target,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
distributed_affine_divisor__target,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
shared_add_add_divisor__target,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
shared_add_add_divisor__target,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
shared_add_add_divisor__target,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
shared_add_add_divisor__target,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
shared_add_add_divisor__target,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
bilinear_divisor__target,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
bilinear_divisor__target,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
bilinear_divisor__target,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
bilinear_divisor__target,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
bilinear_divisor__target,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
mac_divisor__target,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
mac_divisor__target,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
mac_divisor__target,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
mac_divisor__target,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
mac_divisor__target,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__target,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__target,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__target,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__target,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__target,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__target,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__target,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__target,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__target,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__target,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__target,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__target,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__target,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__target,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__target,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__target,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__target,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__target,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
