benchmark_group,failure_stage,failure_reason,count,schema_version
controlled,decomposition,decomposition_disproved_for_selected_source_window,1,active_source_counterpart_refactoring_v1
controlled,non_vacuity,identity_vacuous_refactoring,1,active_source_counterpart_refactoring_v1
controlled,quotient,quotient_ignores_w,1,active_source_counterpart_refactoring_v1
real,anchored_cut_discovery,no_globally_anchored_cut,36,active_source_counterpart_refactoring_v1
real,source_window_discovery,no_relevant_source_consumer_window_under_bounds,20,active_source_counterpart_refactoring_v1
