scope,group,eligible_regions,regions_with_direct_candidates,generated_candidates,canonical_candidates,simulation_checked,simulation_survivors,formal_checks,verified_candidates,recovered_regions,formal_recovery_rate,exact_syntactic_recovery_rate,canonical_syntactic_recovery_rate,equivalent_alternative_rate,mean_verified_rtl_cost,median_verified_rtl_cost,mean_reduction_rate,cases_above_70_reduction
overall,all,686,686,22728,618,22728,1560,1483,1483,418,0.609329,0.260933,0.045190,0.413994,1.926500,1.000000,32.137680,460
family,arithmetic,176,176,6136,439,6136,60,60,60,29,0.164773,0.000000,0.000000,0.164773,3.150000,4.000000,70.361697,39
family,bitmanip,252,252,6367,248,6367,929,877,877,197,0.781746,0.341270,0.123016,0.619048,1.759407,1.000000,27.951078,246
family,boolean,138,138,4358,170,4358,238,238,238,100,0.724638,0.376812,0.000000,0.347826,2.121849,1.000000,45.541550,79
family,comparison,104,104,5077,76,5077,329,304,304,88,0.846154,0.355769,0.000000,0.490385,2.000000,1.000000,26.929255,96
family,control,16,16,790,167,790,4,4,4,4,0.250000,0.250000,0.000000,0.000000,3.000000,3.000000,-25.000000,0
operator,add_add,2,2,98,49,98,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,affine,34,34,952,140,952,6,6,6,3,0.088235,0.000000,0.000000,0.088235,2.500000,2.500000,73.148148,3
operator,arithmetic_select,4,4,162,81,162,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,bilinear,2,2,116,58,116,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,bitwise_and,14,14,592,120,592,14,14,14,14,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,55.952381,2
operator,bitwise_or,14,14,592,120,592,38,38,38,14,1.000000,0.428571,0.000000,0.571429,2.263158,1.000000,8.771930,8
operator,bitwise_xnor,14,14,592,120,592,29,29,29,14,1.000000,0.642857,0.000000,0.357143,2.344828,2.000000,52.873563,10
operator,bitwise_xor,14,14,592,120,592,29,29,29,14,1.000000,0.642857,0.000000,0.357143,2.034483,1.000000,62.068965,15
operator,concat,14,14,548,114,548,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,constant_multiply,34,34,850,125,850,12,12,12,12,0.352941,0.000000,0.000000,0.352941,4.000000,4.000000,30.555556,0
operator,eq,14,14,824,60,824,14,14,14,14,1.000000,1.000000,0.000000,0.000000,2.000000,2.000000,-2.040817,8
operator,full_multiply,14,14,548,128,548,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,mask_low,34,34,832,131,832,132,132,132,24,0.705882,0.000000,0.000000,0.705882,1.863636,1.500000,37.436869,27
operator,masked_and,24,24,570,97,570,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,masked_xor,24,24,570,97,570,20,20,20,10,0.416667,0.000000,0.000000,0.416667,2.500000,2.500000,65.277778,10
operator,mixed_width_add,4,4,148,74,148,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,multiply_accumulate,2,2,92,46,92,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,mux2,4,4,174,87,174,4,4,4,4,1.000000,1.000000,0.000000,0.000000,3.000000,3.000000,-25.000000,0
operator,neq,14,14,824,60,824,62,62,62,14,1.000000,0.428571,0.000000,0.571429,2.258065,1.000000,52.953498,32
operator,nested_mux,2,2,124,62,124,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,one_hot_mux,4,4,206,103,206,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,parity,34,34,850,25,850,108,108,108,34,1.000000,0.411765,0.000000,0.588235,2.111111,1.000000,47.067901,34
operator,priority_mux,2,2,124,62,124,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
operator,range_check,34,34,957,29,957,127,102,102,18,0.529412,0.000000,0.000000,0.529412,1.568627,1.000000,-0.653595,0
operator,reversed_sub,14,14,548,128,548,6,6,6,2,0.142857,0.000000,0.000000,0.142857,3.000000,4.000000,85.855263,6
