region_id,case_id,optimization,source_type,input_count,output_count,structural_coverage,simulation_coverage,boolean_difference_coverage,formal_dependency_coverage,dependency_density,row_density_mean,column_density_mean,lower_triangularity,upper_triangularity,diagonal_concentration,bandwidth,minimum_dependency_slope,maximum_dependency_slope,carry_progression_score,multiplier_diagonal_score,operand_symmetry_score,output_prefix_dependency_score,selectivity_change_score,single_output_control_score,high_bit_priority_score,locality_score,regularity_score,simulation_evidence_level,boolean_difference_evidence_level,pattern_count,seed,runtime_seconds,schema_version
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,3,6,1.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.500000,1.000000,0.555556,0.555556,0.400000,1.000000,3.000000,0.800000,0.222222,1.000000,1.000000,1.000000,0.000000,0.444444,0.600000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.002438,semantic_dependency_v1
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,3,6,1.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.500000,1.000000,0.555556,0.555556,0.400000,1.000000,3.000000,0.800000,0.222222,1.000000,1.000000,1.000000,0.000000,0.444444,0.600000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.001779,semantic_dependency_v1
arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,dc2,whole_output_cone,3,6,1.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.500000,1.000000,0.555556,0.555556,0.400000,1.000000,3.000000,0.800000,0.222222,1.000000,1.000000,1.000000,0.000000,0.444444,0.600000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.001820,semantic_dependency_v1
arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,identity,ground_truth_region,3,6,1.000000,1.000000,1.000000,0.000000,0.833333,0.833333,0.833333,0.800000,0.533333,0.333333,0.400000,0.000000,4.000000,0.640000,0.555556,1.000000,0.800000,1.000000,0.000000,0.666667,0.600000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.002063,semantic_dependency_v1
arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,identity,whole_output_cone,3,6,1.000000,1.000000,1.000000,0.000000,0.833333,0.833333,0.833333,0.800000,0.533333,0.333333,0.400000,0.000000,4.000000,0.640000,0.555556,1.000000,0.800000,1.000000,0.000000,0.666667,0.600000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.002059,semantic_dependency_v1
arithmetic_affine_w3__refactor__whole_output_cone,arithmetic_affine_w3,refactor,whole_output_cone,3,6,1.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.500000,1.000000,0.555556,0.555556,0.400000,1.000000,3.000000,0.800000,0.222222,1.000000,1.000000,1.000000,0.000000,0.444444,0.600000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.002340,semantic_dependency_v1
arithmetic_affine_w3__resub__whole_output_cone,arithmetic_affine_w3,resub,whole_output_cone,3,6,1.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.500000,1.000000,0.555556,0.555556,0.400000,1.000000,3.000000,0.800000,0.222222,1.000000,1.000000,1.000000,0.000000,0.444444,0.600000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.002443,semantic_dependency_v1
arithmetic_affine_w3__resyn__whole_output_cone,arithmetic_affine_w3,resyn,whole_output_cone,3,6,1.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.500000,1.000000,0.555556,0.555556,0.400000,1.000000,3.000000,0.800000,0.222222,1.000000,1.000000,1.000000,0.000000,0.444444,0.600000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.002862,semantic_dependency_v1
arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,resyn2,whole_output_cone,3,6,1.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.500000,1.000000,0.555556,0.555556,0.400000,1.000000,3.000000,0.800000,0.222222,1.000000,1.000000,1.000000,0.000000,0.444444,0.600000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.002157,semantic_dependency_v1
arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,rewrite,whole_output_cone,3,6,1.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.500000,1.000000,0.555556,0.555556,0.400000,1.000000,3.000000,0.800000,0.222222,1.000000,1.000000,1.000000,0.000000,0.444444,0.600000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.002796,semantic_dependency_v1
