region_id,case_id,optimization,source_type,all_declared_input_bits_found,missing_declared_input_bits,extra_scalar_inputs,input_bit_order_match,input_bus_membership_match,all_declared_output_bits_found,missing_declared_output_bits,extra_scalar_outputs,output_bit_order_match,output_driver_alignment,input_bit_recall,input_bit_precision,output_bit_recall,output_bit_precision,input_order_accuracy,output_order_accuracy,exact_scalar_interface_match
arithmetic_affine_w4__identity__whole_output_cone,arithmetic_affine_w4,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w4__refactor__whole_output_cone,arithmetic_affine_w4,refactor,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w4__resub__whole_output_cone,arithmetic_affine_w4,resub,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w4__resyn2__whole_output_cone,arithmetic_affine_w4,resyn2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w4__resyn__whole_output_cone,arithmetic_affine_w4,resyn,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w4__rewrite__whole_output_cone,arithmetic_affine_w4,rewrite,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w6__identity__ground_truth_region,arithmetic_affine_w6,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w6__identity__whole_output_cone,arithmetic_affine_w6,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w8__identity__ground_truth_region,arithmetic_affine_w8,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w8__identity__whole_output_cone,arithmetic_affine_w8,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_bilinear_w2__identity__ground_truth_region,arithmetic_bilinear_w2,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_bilinear_w2__identity__whole_output_cone,arithmetic_bilinear_w2,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w2__balance__whole_output_cone,arithmetic_constant_multiply_w2,balance,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,arithmetic_constant_multiply_w2,compress2rs,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w2__dc2__whole_output_cone,arithmetic_constant_multiply_w2,dc2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w2__identity__ground_truth_region,arithmetic_constant_multiply_w2,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w2__identity__whole_output_cone,arithmetic_constant_multiply_w2,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w2__refactor__whole_output_cone,arithmetic_constant_multiply_w2,refactor,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w2__resub__whole_output_cone,arithmetic_constant_multiply_w2,resub,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w2__resyn2__whole_output_cone,arithmetic_constant_multiply_w2,resyn2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w2__resyn__whole_output_cone,arithmetic_constant_multiply_w2,resyn,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w2__rewrite__whole_output_cone,arithmetic_constant_multiply_w2,rewrite,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w3__balance__whole_output_cone,arithmetic_constant_multiply_w3,balance,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w3__compress2rs__whole_output_cone,arithmetic_constant_multiply_w3,compress2rs,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w3__dc2__whole_output_cone,arithmetic_constant_multiply_w3,dc2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w3__identity__ground_truth_region,arithmetic_constant_multiply_w3,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w3__identity__whole_output_cone,arithmetic_constant_multiply_w3,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w3__refactor__whole_output_cone,arithmetic_constant_multiply_w3,refactor,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w3__resub__whole_output_cone,arithmetic_constant_multiply_w3,resub,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w3__resyn2__whole_output_cone,arithmetic_constant_multiply_w3,resyn2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w3__resyn__whole_output_cone,arithmetic_constant_multiply_w3,resyn,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w3__rewrite__whole_output_cone,arithmetic_constant_multiply_w3,rewrite,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w4__balance__whole_output_cone,arithmetic_constant_multiply_w4,balance,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w4__compress2rs__whole_output_cone,arithmetic_constant_multiply_w4,compress2rs,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w4__dc2__whole_output_cone,arithmetic_constant_multiply_w4,dc2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w4__identity__ground_truth_region,arithmetic_constant_multiply_w4,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w4__identity__whole_output_cone,arithmetic_constant_multiply_w4,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w4__refactor__whole_output_cone,arithmetic_constant_multiply_w4,refactor,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w4__resub__whole_output_cone,arithmetic_constant_multiply_w4,resub,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w4__resyn2__whole_output_cone,arithmetic_constant_multiply_w4,resyn2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w4__resyn__whole_output_cone,arithmetic_constant_multiply_w4,resyn,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w4__rewrite__whole_output_cone,arithmetic_constant_multiply_w4,rewrite,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w6__identity__ground_truth_region,arithmetic_constant_multiply_w6,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w6__identity__whole_output_cone,arithmetic_constant_multiply_w6,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w8__identity__ground_truth_region,arithmetic_constant_multiply_w8,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_constant_multiply_w8__identity__whole_output_cone,arithmetic_constant_multiply_w8,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w2__balance__whole_output_cone,arithmetic_full_multiply_w2,balance,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w2__compress2rs__whole_output_cone,arithmetic_full_multiply_w2,compress2rs,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w2__dc2__whole_output_cone,arithmetic_full_multiply_w2,dc2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w2__identity__ground_truth_region,arithmetic_full_multiply_w2,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w2__identity__whole_output_cone,arithmetic_full_multiply_w2,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w2__refactor__whole_output_cone,arithmetic_full_multiply_w2,refactor,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w2__resub__whole_output_cone,arithmetic_full_multiply_w2,resub,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w2__resyn2__whole_output_cone,arithmetic_full_multiply_w2,resyn2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w2__resyn__whole_output_cone,arithmetic_full_multiply_w2,resyn,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w2__rewrite__whole_output_cone,arithmetic_full_multiply_w2,rewrite,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w3__identity__ground_truth_region,arithmetic_full_multiply_w3,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w3__identity__whole_output_cone,arithmetic_full_multiply_w3,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w4__identity__ground_truth_region,arithmetic_full_multiply_w4,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_full_multiply_w4__identity__whole_output_cone,arithmetic_full_multiply_w4,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_mixed_width_add_w3__identity__ground_truth_region,arithmetic_mixed_width_add_w3,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_mixed_width_add_w3__identity__whole_output_cone,arithmetic_mixed_width_add_w3,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_mixed_width_add_w4__identity__ground_truth_region,arithmetic_mixed_width_add_w4,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_mixed_width_add_w4__identity__whole_output_cone,arithmetic_mixed_width_add_w4,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_multiply_accumulate_w2__identity__ground_truth_region,arithmetic_multiply_accumulate_w2,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_multiply_accumulate_w2__identity__whole_output_cone,arithmetic_multiply_accumulate_w2,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w2__balance__whole_output_cone,arithmetic_reversed_sub_w2,balance,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w2__compress2rs__whole_output_cone,arithmetic_reversed_sub_w2,compress2rs,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w2__dc2__whole_output_cone,arithmetic_reversed_sub_w2,dc2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w2__identity__ground_truth_region,arithmetic_reversed_sub_w2,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w2__identity__whole_output_cone,arithmetic_reversed_sub_w2,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w2__refactor__whole_output_cone,arithmetic_reversed_sub_w2,refactor,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w2__resub__whole_output_cone,arithmetic_reversed_sub_w2,resub,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w2__resyn2__whole_output_cone,arithmetic_reversed_sub_w2,resyn2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w2__resyn__whole_output_cone,arithmetic_reversed_sub_w2,resyn,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w2__rewrite__whole_output_cone,arithmetic_reversed_sub_w2,rewrite,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w3__identity__ground_truth_region,arithmetic_reversed_sub_w3,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w3__identity__whole_output_cone,arithmetic_reversed_sub_w3,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w4__identity__ground_truth_region,arithmetic_reversed_sub_w4,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_reversed_sub_w4__identity__whole_output_cone,arithmetic_reversed_sub_w4,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w2__balance__whole_output_cone,arithmetic_shifted_add_w2,balance,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w2__compress2rs__whole_output_cone,arithmetic_shifted_add_w2,compress2rs,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w2__dc2__whole_output_cone,arithmetic_shifted_add_w2,dc2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w2__identity__ground_truth_region,arithmetic_shifted_add_w2,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w2__identity__whole_output_cone,arithmetic_shifted_add_w2,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w2__refactor__whole_output_cone,arithmetic_shifted_add_w2,refactor,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w2__resub__whole_output_cone,arithmetic_shifted_add_w2,resub,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w2__resyn2__whole_output_cone,arithmetic_shifted_add_w2,resyn2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w2__resyn__whole_output_cone,arithmetic_shifted_add_w2,resyn,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w2__rewrite__whole_output_cone,arithmetic_shifted_add_w2,rewrite,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w3__identity__ground_truth_region,arithmetic_shifted_add_w3,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w3__identity__whole_output_cone,arithmetic_shifted_add_w3,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w4__identity__ground_truth_region,arithmetic_shifted_add_w4,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_shifted_add_w4__identity__whole_output_cone,arithmetic_shifted_add_w4,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_signed_add_w2__balance__whole_output_cone,arithmetic_signed_add_w2,balance,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_signed_add_w2__compress2rs__whole_output_cone,arithmetic_signed_add_w2,compress2rs,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_signed_add_w2__dc2__whole_output_cone,arithmetic_signed_add_w2,dc2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_signed_add_w2__identity__ground_truth_region,arithmetic_signed_add_w2,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_signed_add_w2__identity__whole_output_cone,arithmetic_signed_add_w2,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_signed_add_w2__refactor__whole_output_cone,arithmetic_signed_add_w2,refactor,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_signed_add_w2__resub__whole_output_cone,arithmetic_signed_add_w2,resub,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_signed_add_w2__resyn2__whole_output_cone,arithmetic_signed_add_w2,resyn2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_signed_add_w2__resyn__whole_output_cone,arithmetic_signed_add_w2,resyn,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_signed_add_w2__rewrite__whole_output_cone,arithmetic_signed_add_w2,rewrite,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
