case_id,optimization,ground_truth_region_nodes,output_cone_region_nodes,region_node_delta,region_overlap,jaccard_similarity,boundary_input_delta,boundary_output_delta,whole_output_cone_extra_nodes,whole_output_cone_missing_nodes,same_scalar_interface,same_observable_outputs
bitmanip_sign_extend_w8,identity,16,16,0,16,1.000000,0,0,[],[],true,true
bitmanip_slice_low_w2,identity,1,1,0,1,1.000000,0,0,[],[],true,true
bitmanip_slice_low_w3,identity,1,1,0,1,1.000000,0,0,[],[],true,true
bitmanip_slice_low_w4,identity,2,2,0,2,1.000000,0,0,[],[],true,true
bitmanip_slice_low_w6,identity,3,3,0,3,1.000000,0,0,[],[],true,true
bitmanip_slice_low_w8,identity,4,4,0,4,1.000000,0,0,[],[],true,true
bitmanip_zero_extend_w2,identity,4,4,0,4,1.000000,0,0,[],[],true,true
bitmanip_zero_extend_w3,identity,6,6,0,6,1.000000,0,0,[],[],true,true
bitmanip_zero_extend_w4,identity,8,8,0,8,1.000000,0,0,[],[],true,true
bitmanip_zero_extend_w6,identity,12,12,0,12,1.000000,0,0,[],[],true,true
bitmanip_zero_extend_w8,identity,16,16,0,16,1.000000,0,0,[],[],true,true
boolean_bitwise_and_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
boolean_bitwise_and_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
boolean_bitwise_and_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
boolean_bitwise_or_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
boolean_bitwise_or_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
boolean_bitwise_or_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
boolean_bitwise_xnor_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
boolean_bitwise_xnor_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
boolean_bitwise_xnor_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
boolean_bitwise_xor_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
boolean_bitwise_xor_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
boolean_bitwise_xor_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
boolean_masked_and_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
boolean_masked_and_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
boolean_masked_and_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
boolean_masked_and_w6,identity,6,6,0,6,1.000000,0,0,[],[],true,true
boolean_masked_xor_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
