region_id,case_id,optimization,source_type,status,skip_reason
arithmetic_add_add_w2__balance__ground_truth_region,arithmetic_add_add_w2,balance,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w2__balance__whole_output_cone,arithmetic_add_add_w2,balance,whole_output_cone,unsupported_case,abc_variant_generation_bounded
arithmetic_add_add_w2__compress2rs__ground_truth_region,arithmetic_add_add_w2,compress2rs,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w2__compress2rs__whole_output_cone,arithmetic_add_add_w2,compress2rs,whole_output_cone,unsupported_case,abc_variant_generation_bounded
arithmetic_add_add_w2__dc2__ground_truth_region,arithmetic_add_add_w2,dc2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w2__dc2__whole_output_cone,arithmetic_add_add_w2,dc2,whole_output_cone,unsupported_case,abc_variant_generation_bounded
arithmetic_add_add_w2__refactor__ground_truth_region,arithmetic_add_add_w2,refactor,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w2__refactor__whole_output_cone,arithmetic_add_add_w2,refactor,whole_output_cone,unsupported_case,abc_variant_generation_bounded
arithmetic_add_add_w2__resub__ground_truth_region,arithmetic_add_add_w2,resub,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w2__resub__whole_output_cone,arithmetic_add_add_w2,resub,whole_output_cone,unsupported_case,abc_variant_generation_bounded
arithmetic_add_add_w2__resyn__ground_truth_region,arithmetic_add_add_w2,resyn,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w2__resyn__whole_output_cone,arithmetic_add_add_w2,resyn,whole_output_cone,unsupported_case,abc_variant_generation_bounded
arithmetic_add_add_w2__resyn2__ground_truth_region,arithmetic_add_add_w2,resyn2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w2__resyn2__whole_output_cone,arithmetic_add_add_w2,resyn2,whole_output_cone,unsupported_case,abc_variant_generation_bounded
arithmetic_add_add_w2__rewrite__ground_truth_region,arithmetic_add_add_w2,rewrite,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w2__rewrite__whole_output_cone,arithmetic_add_add_w2,rewrite,whole_output_cone,unsupported_case,abc_variant_generation_bounded
arithmetic_add_add_w3__balance__ground_truth_region,arithmetic_add_add_w3,balance,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w3__balance__whole_output_cone,arithmetic_add_add_w3,balance,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w3__compress2rs__ground_truth_region,arithmetic_add_add_w3,compress2rs,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w3__compress2rs__whole_output_cone,arithmetic_add_add_w3,compress2rs,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w3__dc2__ground_truth_region,arithmetic_add_add_w3,dc2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w3__dc2__whole_output_cone,arithmetic_add_add_w3,dc2,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w3__identity__ground_truth_region,arithmetic_add_add_w3,identity,ground_truth_region,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w3__identity__whole_output_cone,arithmetic_add_add_w3,identity,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w3__refactor__ground_truth_region,arithmetic_add_add_w3,refactor,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w3__refactor__whole_output_cone,arithmetic_add_add_w3,refactor,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w3__resub__ground_truth_region,arithmetic_add_add_w3,resub,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w3__resub__whole_output_cone,arithmetic_add_add_w3,resub,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w3__resyn__ground_truth_region,arithmetic_add_add_w3,resyn,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w3__resyn__whole_output_cone,arithmetic_add_add_w3,resyn,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w3__resyn2__ground_truth_region,arithmetic_add_add_w3,resyn2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w3__resyn2__whole_output_cone,arithmetic_add_add_w3,resyn2,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w3__rewrite__ground_truth_region,arithmetic_add_add_w3,rewrite,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w3__rewrite__whole_output_cone,arithmetic_add_add_w3,rewrite,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w4__balance__ground_truth_region,arithmetic_add_add_w4,balance,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w4__balance__whole_output_cone,arithmetic_add_add_w4,balance,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w4__compress2rs__ground_truth_region,arithmetic_add_add_w4,compress2rs,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w4__compress2rs__whole_output_cone,arithmetic_add_add_w4,compress2rs,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w4__dc2__ground_truth_region,arithmetic_add_add_w4,dc2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w4__dc2__whole_output_cone,arithmetic_add_add_w4,dc2,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w4__identity__ground_truth_region,arithmetic_add_add_w4,identity,ground_truth_region,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w4__identity__whole_output_cone,arithmetic_add_add_w4,identity,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w4__refactor__ground_truth_region,arithmetic_add_add_w4,refactor,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w4__refactor__whole_output_cone,arithmetic_add_add_w4,refactor,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
