benchmark_group,failure_stage,failure_reason,count,schema_version
controlled,global_cec,global_cec_failed,1,cross_netlist_cut_transplantation_v1
controlled,input_adapter,no_exact_input_adapter,1,cross_netlist_cut_transplantation_v1
controlled,locality,whole_design_transplant_diagnostic,1,cross_netlist_cut_transplantation_v1
controlled,output_adapter,no_exact_output_adapter,1,cross_netlist_cut_transplantation_v1
controlled,target_influence,target_does_not_influence_bi,1,cross_netlist_cut_transplantation_v1
real,input_interface_sufficiency,no_globally_anchored_cut,36,cross_netlist_cut_transplantation_v1
real,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,20,cross_netlist_cut_transplantation_v1
