benchmark,optimization,optimized_node,rank,original_candidate,combined_score,simulation_similarity,support_overlap,depth_similarity,optimized_level,original_level,penalty,refined_score,cegar_rank,rank_change,is_rejected_pair
majority3,balance,new_n5,1,new_n7,1.0,1.0,1.0,1.0,1,1,0.0,1.0,1,0,False
majority3,balance,new_n5,2,new_n5,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,2,0,False
majority3,balance,new_n5,3,new_n6,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,3,0,False
majority3,balance,new_n5,4,new_n8,0.4895833333333333,0.375,0.6666666666666666,0.5,1,2,0.0,0.4895833333333333,4,0,False
majority3,balance,new_n6,1,new_n5,1.0,1.0,1.0,1.0,1,1,0.0,1.0,1,0,False
majority3,balance,new_n6,2,new_n6,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,2,0,False
majority3,balance,new_n6,3,new_n7,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,3,0,False
majority3,balance,new_n6,4,new_n8,0.3520833333333333,0.125,0.6666666666666666,0.5,1,2,0.0,0.3520833333333333,4,0,False
majority3,balance,new_n7,1,new_n6,1.0,1.0,1.0,1.0,1,1,0.0,1.0,1,0,False
majority3,balance,new_n7,2,new_n5,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,2,0,False
majority3,balance,new_n7,3,new_n7,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,3,0,False
majority3,balance,new_n7,4,new_n8,0.3520833333333333,0.125,0.6666666666666666,0.5,1,2,0.0,0.3520833333333333,4,0,False
majority3,balance,new_n8,1,new_n8,0.8624999999999999,0.75,1.0,1.0,2,2,0.2,0.6624999999999999,1,0,True
majority3,balance,new_n8,2,new_n6,0.4895833333333333,0.375,0.6666666666666666,0.5,2,1,0.11944444444444442,0.3701388888888889,2,0,False
majority3,balance,new_n8,3,new_n5,0.3520833333333333,0.125,0.6666666666666666,0.5,2,1,0.10277777777777777,0.24930555555555553,3,0,False
majority3,balance,new_n8,4,new_n7,0.3520833333333333,0.125,0.6666666666666666,0.5,2,1,0.10277777777777777,0.24930555555555553,4,0,False
majority3,refactor,new_n5,1,new_n7,1.0,1.0,1.0,1.0,1,1,0.0,1.0,1,0,False
majority3,refactor,new_n5,2,new_n5,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,2,0,False
majority3,refactor,new_n5,3,new_n6,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,3,0,False
majority3,refactor,new_n5,4,new_n8,0.4895833333333333,0.375,0.6666666666666666,0.5,1,2,0.0,0.4895833333333333,4,0,False
majority3,refactor,new_n6,1,new_n7,0.725,0.5,1.0,1.0,1,1,0.0,0.725,1,0,False
majority3,refactor,new_n6,2,new_n8,0.6270833333333333,0.625,0.6666666666666666,0.5,1,2,0.0,0.6270833333333333,2,0,False
majority3,refactor,new_n6,3,new_n5,0.4916666666666667,0.5,0.3333333333333333,1.0,1,1,0.0,0.4916666666666667,3,0,False
majority3,refactor,new_n6,4,new_n6,0.4916666666666667,0.5,0.3333333333333333,1.0,1,1,0.0,0.4916666666666667,4,0,False
majority3,refactor,new_n7,1,new_n5,0.7645833333333334,0.875,0.6666666666666666,0.5,2,1,0.0,0.7645833333333334,1,0,False
majority3,refactor,new_n7,2,new_n6,0.7645833333333334,0.875,0.6666666666666666,0.5,2,1,0.0,0.7645833333333334,2,0,False
majority3,refactor,new_n7,3,new_n7,0.6270833333333333,0.625,0.6666666666666666,0.5,2,1,0.0,0.6270833333333333,3,0,False
majority3,refactor,new_n7,4,new_n8,0.4499999999999999,0.0,1.0,1.0,2,2,0.0,0.4499999999999999,4,0,False
majority3,resub,new_n5,1,new_n7,1.0,1.0,1.0,1.0,1,1,0.0,1.0,1,0,False
majority3,resub,new_n5,2,new_n5,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,2,0,False
majority3,resub,new_n5,3,new_n6,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,3,0,False
majority3,resub,new_n5,4,new_n8,0.4895833333333333,0.375,0.6666666666666666,0.5,1,2,0.0,0.4895833333333333,4,0,False
majority3,resub,new_n6,1,new_n5,1.0,1.0,1.0,1.0,1,1,0.0,1.0,1,0,False
majority3,resub,new_n6,2,new_n6,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,2,0,False
majority3,resub,new_n6,3,new_n7,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,3,0,False
majority3,resub,new_n6,4,new_n8,0.3520833333333333,0.125,0.6666666666666666,0.5,1,2,0.0,0.3520833333333333,4,0,False
majority3,resub,new_n7,1,new_n6,1.0,1.0,1.0,1.0,1,1,0.0,1.0,1,0,False
majority3,resub,new_n7,2,new_n5,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,2,0,False
majority3,resub,new_n7,3,new_n7,0.6291666666666667,0.75,0.3333333333333333,1.0,1,1,0.0,0.6291666666666667,3,0,False
majority3,resub,new_n7,4,new_n8,0.3520833333333333,0.125,0.6666666666666666,0.5,1,2,0.0,0.3520833333333333,4,0,False
majority3,resub,new_n8,1,new_n8,1.0,1.0,1.0,1.0,2,2,0.0,1.0,1,0,False
majority3,resub,new_n8,2,new_n7,0.4895833333333333,0.375,0.6666666666666666,0.5,2,1,0.0,0.4895833333333333,2,0,False
majority3,resub,new_n8,3,new_n5,0.3520833333333333,0.125,0.6666666666666666,0.5,2,1,0.0,0.3520833333333333,3,0,False
majority3,resub,new_n8,4,new_n6,0.3520833333333333,0.125,0.6666666666666666,0.5,2,1,0.0,0.3520833333333333,4,0,False
majority3,resyn2_like,new_n5,1,new_n6,0.725,0.5,1.0,1.0,1,1,0.0,0.725,1,0,False
majority3,resyn2_like,new_n5,2,new_n8,0.6270833333333333,0.625,0.6666666666666666,0.5,1,2,0.0,0.6270833333333333,2,0,False
majority3,resyn2_like,new_n5,3,new_n5,0.4916666666666667,0.5,0.3333333333333333,1.0,1,1,0.0,0.4916666666666667,3,0,False
