benchmark,source_family,optimization,original_optimized_blif_path,abc_sweep_flow_name,node_count_before,node_count_after,level_count_before,level_count_after,node_reduction,level_reduction,runtime_seconds,abc_reported_equivalence_or_failure,abc_statistics,swept_blif_path
external_iscas85_c2670,iscas85,balance,results/abc_native_inputs/external_iscas85_c2670_balance.blif,fraig,714,677,17,17,37,0,0.0243,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_original_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_original_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c2670.blif strash; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_balance.blif ===================================================== benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 714 lev = 17 benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 677 lev = 17 ***EOF***",results/abc_native_swept/external_iscas85_c2670_balance_fraig.blif
external_iscas85_c2670,iscas85,balance,results/abc_native_inputs/external_iscas85_c2670_balance.blif,amp_fraig_x,714,677,17,17,37,0,0.0334,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_original_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c2670.blif strash; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_balance.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_balance.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_balance_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 714 lev = 17 benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 677 lev = 17 ***EOF***",results/abc_native_swept/external_iscas85_c2670_balance_amp_fraig_x.blif
external_iscas85_c2670,iscas85,rewrite,results/abc_native_inputs/external_iscas85_c2670_rewrite.blif,fraig,583,583,21,21,0,0,0.0232,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_balance_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_balance_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c2670.blif strash; rewrite write_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_rewrite.blif ===================================================== benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 583 lev = 21 benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 583 lev = 21 ***EOF***",results/abc_native_swept/external_iscas85_c2670_rewrite_fraig.blif
external_iscas85_c2670,iscas85,rewrite,results/abc_native_inputs/external_iscas85_c2670_rewrite.blif,amp_fraig_x,583,583,21,21,0,0,0.0242,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_balance_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c2670.blif strash; rewrite write_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_rewrite.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_rewrite.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_rewrite_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 583 lev = 21 benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 583 lev = 21 ***EOF***",results/abc_native_swept/external_iscas85_c2670_rewrite_amp_fraig_x.blif
external_iscas85_c2670,iscas85,resyn2,results/abc_native_inputs/external_iscas85_c2670_resyn2.blif,fraig,571,570,17,17,1,0,0.0234,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_rewrite_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_rewrite_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c2670.blif strash; balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_resyn2.blif ===================================================== benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 571 lev = 17 benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 570 lev = 17 *",results/abc_native_swept/external_iscas85_c2670_resyn2_fraig.blif
external_iscas85_c2670,iscas85,resyn2,results/abc_native_inputs/external_iscas85_c2670_resyn2.blif,amp_fraig_x,571,570,17,17,1,0,0.0298,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_rewrite_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c2670.blif strash; balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_resyn2.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_resyn2.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_resyn2_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 571 lev = 17 benchmarks/external/iscas85/",results/abc_native_swept/external_iscas85_c2670_resyn2_amp_fraig_x.blif
external_iscas85_c6288,iscas85,original,results/abc_native_inputs/external_iscas85_c6288_original.blif,fraig,2337,2334,120,120,3,0,0.0253,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_resyn2_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_resyn2_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c6288.blif write_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_original.blif ===================================================== benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2337 lev =120 benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2334 lev =120 ***EOF***",results/abc_native_swept/external_iscas85_c6288_original_fraig.blif
external_iscas85_c6288,iscas85,original,results/abc_native_inputs/external_iscas85_c6288_original.blif,amp_fraig_x,2337,2334,120,120,3,0,0.0255,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_resyn2_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c6288.blif write_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_original.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_original.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_original_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2337 lev =120 benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2334 lev =120 ***EOF***",results/abc_native_swept/external_iscas85_c6288_original_amp_fraig_x.blif
external_iscas85_c6288,iscas85,balance,results/abc_native_inputs/external_iscas85_c6288_balance.blif,fraig,2337,2334,120,120,3,0,0.0245,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_original_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_original_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c6288.blif strash; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_balance.blif ===================================================== benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2337 lev =120 benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2334 lev =120 ***EOF***",results/abc_native_swept/external_iscas85_c6288_balance_fraig.blif
external_iscas85_c6288,iscas85,balance,results/abc_native_inputs/external_iscas85_c6288_balance.blif,amp_fraig_x,2337,2334,120,120,3,0,0.0264,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_original_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c6288.blif strash; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_balance.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_balance.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_balance_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2337 lev =120 benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2334 lev =120 ***EOF***",results/abc_native_swept/external_iscas85_c6288_balance_amp_fraig_x.blif
