config,weights,benchmark,optimization,total_nodes,avg_rank1_score,rank1_consistency,rank1_precision,mrr
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,resub,44,1.0,1.0,0.022727272727272728,0.022727272727272728
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,resyn,44,0.7981607148141573,1.0,0.022727272727272728,0.022727272727272728
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,resyn2,44,0.7891126228101325,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,resyn2_like,44,0.7891126228101325,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,rewrite,44,1.0,1.0,0.022727272727272728,0.022727272727272728
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,rewrite_z,44,0.8300801595052085,1.0,0.022727272727272728,0.022727272727272728
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,balance,8,1.0,1.0,0.125,0.125
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,compress2rs,8,0.7250000000000001,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,dc2,8,0.88828125,1.0,0.125,0.125
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,refactor,8,1.0,1.0,0.125,0.125
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,refactor_z,8,0.7250000000000001,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,resub,8,1.0,1.0,0.125,0.125
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,resyn,8,0.8109375000000001,1.0,0.125,0.125
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,resyn2,8,0.7250000000000001,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,resyn2_like,8,0.7250000000000001,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,rewrite,8,1.0,1.0,0.125,0.125
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,rewrite_z,8,0.8109375000000001,1.0,0.125,0.125
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,balance,20,1.0,1.0,0.05,0.05
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,compress2rs,20,0.82875,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,dc2,20,0.5815416666666666,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,refactor,20,1.0,1.0,0.05,0.05
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,refactor_z,20,0.8975,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,resub,20,1.0,1.0,0.05,0.05
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,resyn,20,0.8487500000000001,1.0,0.05,0.05
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,resyn2,20,0.82875,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,resyn2_like,20,0.82875,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,rewrite,20,1.0,1.0,0.05,0.05
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_8,rewrite_z,20,0.8487500000000001,1.0,0.05,0.05
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,balance,17,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,compress2rs,17,0.8465652765012255,1.0,0.29411764705882354,0.29411764705882354
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,dc2,17,0.8559919768688725,1.0,0.17647058823529413,0.17647058823529413
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,refactor,17,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,refactor_z,17,0.9215619255514707,1.0,0.47058823529411764,0.47058823529411764
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,resub,17,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,resyn,17,0.8845135857077207,1.0,0.29411764705882354,0.29411764705882354
