benchmark,optimization,depth,total_opt_nodes,avg_rank1_region_score,avg_rank1_cone_sim,avg_rank1_cone_support,avg_rank1_cone_size_sim,pct_rank1_above_0_8
generated_adder_4,balance,1,31,1.0,1.0,1.0,1.0,1.0
generated_adder_4,balance,2,31,1.0,1.0,1.0,1.0,1.0
generated_adder_4,balance,3,31,1.0,1.0,1.0,1.0,1.0
generated_adder_4,compress2rs,1,23,0.7925983436853002,0.8586956521739131,0.7215320910973085,0.7463768115942029,0.6086956521739131
generated_adder_4,compress2rs,2,23,0.8346376811594203,0.8478260869565217,0.8420289855072464,0.7391304347826086,0.6521739130434783
generated_adder_4,compress2rs,3,23,0.8417764602547211,0.8369565217391305,0.8825208607817303,0.7028985507246377,0.6956521739130435
generated_adder_4,dc2,1,23,0.7925983436853002,0.8586956521739131,0.7215320910973085,0.7463768115942029,0.6086956521739131
generated_adder_4,dc2,2,23,0.8346376811594203,0.8478260869565217,0.8420289855072464,0.7391304347826086,0.6521739130434783
generated_adder_4,dc2,3,23,0.8417764602547211,0.8369565217391305,0.8825208607817303,0.7028985507246377,0.6956521739130435
generated_adder_4,refactor,1,23,0.7925983436853002,0.8586956521739131,0.7215320910973085,0.7463768115942029,0.6086956521739131
generated_adder_4,refactor,2,23,0.8346376811594203,0.8478260869565217,0.8420289855072464,0.7391304347826086,0.6521739130434783
generated_adder_4,refactor,3,23,0.8417764602547211,0.8369565217391305,0.8825208607817303,0.7028985507246377,0.6956521739130435
generated_adder_4,refactor_z,1,23,0.7925983436853002,0.8586956521739131,0.7215320910973085,0.7463768115942029,0.6086956521739131
generated_adder_4,refactor_z,2,23,0.8346376811594203,0.8478260869565217,0.8420289855072464,0.7391304347826086,0.6521739130434783
generated_adder_4,refactor_z,3,23,0.8417764602547211,0.8369565217391305,0.8825208607817303,0.7028985507246377,0.6956521739130435
generated_adder_4,resub,1,31,1.0,1.0,1.0,1.0,1.0
generated_adder_4,resub,2,31,1.0,1.0,1.0,1.0,1.0
generated_adder_4,resub,3,31,1.0,1.0,1.0,1.0,1.0
generated_adder_4,resyn,1,28,0.936045918367347,0.9553571428571429,0.8959183673469387,1.0,0.8571428571428571
generated_adder_4,resyn,2,28,0.9609693877551021,0.9464285714285714,0.9693877551020408,1.0,0.8928571428571429
generated_adder_4,resyn,3,28,0.9668650793650794,0.9464285714285714,0.9841269841269842,1.0,0.8928571428571429
generated_adder_4,resyn2,1,23,0.7925983436853002,0.8586956521739131,0.7215320910973085,0.7463768115942029,0.6086956521739131
generated_adder_4,resyn2,2,23,0.8346376811594203,0.8478260869565217,0.8420289855072464,0.7391304347826086,0.6521739130434783
generated_adder_4,resyn2,3,23,0.8417764602547211,0.8369565217391305,0.8825208607817303,0.7028985507246377,0.6956521739130435
generated_adder_4,resyn2_like,1,23,0.7925983436853002,0.8586956521739131,0.7215320910973085,0.7463768115942029,0.6086956521739131
generated_adder_4,resyn2_like,2,23,0.8346376811594203,0.8478260869565217,0.8420289855072464,0.7391304347826086,0.6521739130434783
generated_adder_4,resyn2_like,3,23,0.8417764602547211,0.8369565217391305,0.8825208607817303,0.7028985507246377,0.6956521739130435
generated_adder_4,rewrite,1,28,0.936045918367347,0.9553571428571429,0.8959183673469387,1.0,0.8571428571428571
generated_adder_4,rewrite,2,28,0.9609693877551021,0.9464285714285714,0.9693877551020408,1.0,0.8928571428571429
generated_adder_4,rewrite,3,28,0.9668650793650794,0.9464285714285714,0.9841269841269842,1.0,0.8928571428571429
generated_adder_4,rewrite_z,1,28,0.936045918367347,0.9553571428571429,0.8959183673469387,1.0,0.8571428571428571
generated_adder_4,rewrite_z,2,28,0.9609693877551021,0.9464285714285714,0.9693877551020408,1.0,0.8928571428571429
generated_adder_4,rewrite_z,3,28,0.9668650793650794,0.9464285714285714,0.9841269841269842,1.0,0.8928571428571429
generated_adder_8,balance,1,63,1.0,1.0,1.0,1.0,1.0
generated_adder_8,balance,2,63,1.0,1.0,1.0,1.0,1.0
generated_adder_8,balance,3,63,1.0,1.0,1.0,1.0,1.0
generated_adder_8,compress2rs,1,47,0.7742843488791793,0.8558635305851063,0.6752786220871327,0.7624113475177305,0.5531914893617021
generated_adder_8,compress2rs,2,47,0.807099921043883,0.8473913314494681,0.7687943262411348,0.7588652482269503,0.574468085106383
generated_adder_8,compress2rs,3,47,0.8119847913980228,0.8571309840425532,0.7839028583709434,0.6985815602836879,0.5957446808510638
generated_adder_8,dc2,1,47,0.7742843488791793,0.8558635305851063,0.6752786220871327,0.7624113475177305,0.5531914893617021
generated_adder_8,dc2,2,47,0.807099921043883,0.8473913314494681,0.7687943262411348,0.7588652482269503,0.574468085106383
generated_adder_8,dc2,3,47,0.8119847913980228,0.8571309840425532,0.7839028583709434,0.6985815602836879,0.5957446808510638
generated_adder_8,refactor,1,47,0.7742843488791793,0.8558635305851063,0.6752786220871327,0.7624113475177305,0.5531914893617021
generated_adder_8,refactor,2,47,0.807099921043883,0.8473913314494681,0.7687943262411348,0.7588652482269503,0.574468085106383
generated_adder_8,refactor,3,47,0.8119847913980228,0.8571309840425532,0.7839028583709434,0.6985815602836879,0.5957446808510638
generated_adder_8,refactor_z,1,47,0.7742843488791793,0.8558635305851063,0.6752786220871327,0.7624113475177305,0.5531914893617021
generated_adder_8,refactor_z,2,47,0.807099921043883,0.8473913314494681,0.7687943262411348,0.7588652482269503,0.574468085106383
generated_adder_8,refactor_z,3,47,0.8119847913980228,0.8571309840425532,0.7839028583709434,0.6985815602836879,0.5957446808510638
generated_adder_8,resub,1,63,1.0,1.0,1.0,1.0,1.0
generated_adder_8,resub,2,63,1.0,1.0,1.0,1.0,1.0
generated_adder_8,resub,3,63,1.0,1.0,1.0,1.0,1.0
generated_adder_8,resyn,1,56,0.893532901686065,0.9548209054129464,0.7903061224489796,1.0,0.7321428571428571
generated_adder_8,resyn,2,56,0.9186211369313351,0.9428885323660714,0.8709183673469387,0.9880952380952381,0.75
generated_adder_8,resyn,3,56,0.9265014202938833,0.9556405203683036,0.8717029002743288,1.0,0.7678571428571429
generated_adder_8,resyn2,1,47,0.7742843488791793,0.8558635305851063,0.6752786220871327,0.7624113475177305,0.5531914893617021
generated_adder_8,resyn2,2,47,0.807099921043883,0.8473913314494681,0.7687943262411348,0.7588652482269503,0.574468085106383
generated_adder_8,resyn2,3,47,0.8119847913980228,0.8571309840425532,0.7839028583709434,0.6985815602836879,0.5957446808510638
generated_adder_8,resyn2_like,1,47,0.7742843488791793,0.8558635305851063,0.6752786220871327,0.7624113475177305,0.5531914893617021
generated_adder_8,resyn2_like,2,47,0.807099921043883,0.8473913314494681,0.7687943262411348,0.7588652482269503,0.574468085106383
generated_adder_8,resyn2_like,3,47,0.8119847913980228,0.8571309840425532,0.7839028583709434,0.6985815602836879,0.5957446808510638
generated_adder_8,rewrite,1,56,0.893532901686065,0.9548209054129464,0.7903061224489796,1.0,0.7321428571428571
generated_adder_8,rewrite,2,56,0.9186211369313351,0.9428885323660714,0.8709183673469387,0.9880952380952381,0.75
generated_adder_8,rewrite,3,56,0.9265014202938833,0.9556405203683036,0.8717029002743288,1.0,0.7678571428571429
generated_adder_8,rewrite_z,1,56,0.893532901686065,0.9548209054129464,0.7903061224489796,1.0,0.7321428571428571
generated_adder_8,rewrite_z,2,56,0.9186211369313351,0.9428885323660714,0.8709183673469387,0.9880952380952381,0.75
generated_adder_8,rewrite_z,3,56,0.9265014202938833,0.9556405203683036,0.8717029002743288,1.0,0.7678571428571429
generated_multiplier_2,balance,1,8,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,balance,2,8,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,balance,3,8,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,compress2rs,1,4,0.921875,0.84375,1.0,1.0,0.75
generated_multiplier_2,compress2rs,2,4,0.921875,0.84375,1.0,1.0,0.75
generated_multiplier_2,compress2rs,3,4,0.921875,0.84375,1.0,1.0,0.75
generated_multiplier_2,dc2,1,4,0.8453125,0.765625,0.9375,0.875,0.5
generated_multiplier_2,dc2,2,4,0.8546875,0.796875,0.9375,0.8125,0.5
generated_multiplier_2,dc2,3,4,0.8546875,0.796875,0.9375,0.8125,0.5
generated_multiplier_2,refactor,1,6,0.8854166666666666,0.7708333333333334,1.0,1.0,0.6666666666666666
generated_multiplier_2,refactor,2,6,0.8854166666666666,0.7708333333333334,1.0,1.0,0.6666666666666666
generated_multiplier_2,refactor,3,6,0.8854166666666666,0.7708333333333334,1.0,1.0,0.6666666666666666
generated_multiplier_2,refactor_z,1,6,0.8854166666666666,0.7708333333333334,1.0,1.0,0.6666666666666666
generated_multiplier_2,refactor_z,2,6,0.8854166666666666,0.7708333333333334,1.0,1.0,0.6666666666666666
generated_multiplier_2,refactor_z,3,6,0.8854166666666666,0.7708333333333334,1.0,1.0,0.6666666666666666
generated_multiplier_2,resub,1,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,resub,2,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,resub,3,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,resyn,1,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,resyn,2,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,resyn,3,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,resyn2,1,4,0.921875,0.84375,1.0,1.0,0.75
generated_multiplier_2,resyn2,2,4,0.921875,0.84375,1.0,1.0,0.75
generated_multiplier_2,resyn2,3,4,0.921875,0.84375,1.0,1.0,0.75
generated_multiplier_2,resyn2_like,1,4,0.921875,0.84375,1.0,1.0,0.75
generated_multiplier_2,resyn2_like,2,4,0.921875,0.84375,1.0,1.0,0.75
generated_multiplier_2,resyn2_like,3,4,0.921875,0.84375,1.0,1.0,0.75
generated_multiplier_2,rewrite,1,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,rewrite,2,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,rewrite,3,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,rewrite_z,1,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,rewrite_z,2,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_2,rewrite_z,3,5,1.0,1.0,1.0,1.0,1.0
generated_multiplier_4,balance,1,112,0.9437885974702381,0.9928152901785714,0.868452380952381,1.0,0.8928571428571429
generated_multiplier_4,balance,2,112,0.9290718227395125,0.99462890625,0.8293934240362811,1.0,0.8392857142857143
generated_multiplier_4,balance,3,112,0.9247338760846896,0.9928152901785714,0.8267679584408908,0.9761904761904762,0.8482142857142857
generated_multiplier_4,compress2rs,1,75,0.7176544146825397,0.9090104166666667,0.41009523809523807,0.9911111111111112,0.22666666666666666
generated_multiplier_4,compress2rs,2,75,0.751632298026048,0.9328125,0.47184289784289785,0.9648888888888889,0.28
generated_multiplier_4,compress2rs,3,75,0.7600329090231663,0.9286979166666667,0.537404321169027,0.8072222222222222,0.29333333333333333
generated_multiplier_4,dc2,1,82,0.7074114401858305,0.9222560975609756,0.3677409988385598,0.991869918699187,0.23170731707317074
generated_multiplier_4,dc2,2,82,0.7334374027056954,0.9207317073170732,0.4516829376585474,0.9239837398373983,0.24390243902439024
generated_multiplier_4,dc2,3,82,0.746034473136819,0.9309737042682927,0.5035213463510488,0.791390824622532,0.2804878048780488
generated_multiplier_4,refactor,1,100,0.7633706473214286,0.9483984375,0.4729285714285714,1.0,0.3
generated_multiplier_4,refactor,2,100,0.7874842314803252,0.9655078125,0.5147424797424798,0.9883333333333333,0.37
generated_multiplier_4,refactor,3,100,0.818346542582454,0.968515625,0.6029926585394684,0.9289166666666666,0.39
generated_multiplier_4,refactor_z,1,100,0.7470254464285714,0.91359375,0.4755714285714286,1.0,0.27
generated_multiplier_4,refactor_z,2,100,0.7544110778110777,0.925,0.4920276945276945,0.951,0.29
