distance_mode,sat_status,count,mean_distance,median_distance,min_distance,max_distance,pct_distance_le_1pct,pct_distance_le_5pct,pct_distance_le_10pct
exact,rejected,463,0.060271096281047515,0.0625,0.0009765625,0.1171875,0.12742980561555076,0.35853131749460043,0.9762419006479481
exact,verified,82,0.13567073170731708,0.125,0.0625,0.25,0.0,0.0,0.06097560975609756
sampled,rejected,1537,0.02465947386345153,0.01318359375,0.000244140625,0.131591796875,0.3318152244632401,0.8308392973324659,0.9804814573845153
sampled,verified,527,0.05301835641010436,0.031005859375,0.0,0.267822265625,0.18785578747628084,0.6451612903225806,0.793168880455408
