benchmark,optimization,optimized_node,rank,original_candidate,combined_score,simulation_similarity,support_overlap,depth_similarity,optimized_level,original_level,optimized_fingerprint,original_fingerprint,optimized_support_size,original_support_size,optimized_fanin_count,original_fanin_count
generated_adder_4,balance,new_n22,5,new_n34,0.5725,0.75,0.4,0.2,1,5,2157b90811e3ea67,47d1804ed8430f98,2,5,2,2
generated_adder_4,balance,new_n23,1,new_n23,1.0,1.0,1.0,1.0,2,2,f6ca69658a9287c9,f6ca69658a9287c9,2,2,2,2
generated_adder_4,balance,new_n23,2,new_n33,0.8125,0.75,1.0,0.5,2,1,f6ca69658a9287c9,1e47fdfb89658e16,2,2,2,2
generated_adder_4,balance,new_n23,3,new_n28,0.5775,0.75,0.4,0.25,2,5,f6ca69658a9287c9,4d7a9a3b447efb56,2,5,2,2
generated_adder_4,balance,new_n23,4,new_n21,0.5375,0.25,1.0,0.5,2,1,f6ca69658a9287c9,e451a988382af5d9,2,2,2,2
generated_adder_4,balance,new_n23,5,new_n22,0.5375,0.25,1.0,0.5,2,1,f6ca69658a9287c9,2157b90811e3ea67,2,2,2,2
generated_adder_4,balance,new_n24,1,new_n24,1.0,1.0,1.0,1.0,1,1,47c57d9752e083e9,47c57d9752e083e9,2,2,2,2
generated_adder_4,balance,new_n24,2,new_n17,0.8125,0.75,1.0,0.5,1,2,47c57d9752e083e9,5fb1824d9692e39a,2,2,2,2
generated_adder_4,balance,new_n24,3,new_n15,0.725,0.5,1.0,1.0,1,1,47c57d9752e083e9,7bd75205b989a663,2,2,2,2
generated_adder_4,balance,new_n24,4,new_n16,0.725,0.5,1.0,1.0,1,1,47c57d9752e083e9,235b1e44a2ae2a5f,2,2,2,2
generated_adder_4,balance,new_n24,5,new_n19,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,1,3,47c57d9752e083e9,dc06a37141f84a2b,2,3,2,2
generated_adder_4,balance,new_n25,1,new_n25,1.0,1.0,1.0,1.0,3,3,6651021d80b896ca,6651021d80b896ca,3,3,2,2
generated_adder_4,balance,new_n25,2,new_n18,0.725,0.5,1.0,1.0,3,3,6651021d80b896ca,38a1a370d3f79f4b,3,3,2,2
generated_adder_4,balance,new_n25,3,new_n19,0.725,0.5,1.0,1.0,3,3,6651021d80b896ca,dc06a37141f84a2b,3,3,2,2
generated_adder_4,balance,new_n25,4,new_n15,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,3,1,6651021d80b896ca,7bd75205b989a663,3,2,2,2
generated_adder_4,balance,new_n25,5,new_n16,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,3,1,6651021d80b896ca,235b1e44a2ae2a5f,3,2,2,2
generated_adder_4,balance,new_n26,1,new_n26,1.0,1.0,1.0,1.0,4,4,2a8cb68d76125e6e,2a8cb68d76125e6e,3,3,2,2
generated_adder_4,balance,new_n26,2,new_n18,0.8125,0.75,1.0,0.5,4,3,2a8cb68d76125e6e,38a1a370d3f79f4b,3,3,2,2
generated_adder_4,balance,new_n26,3,new_n19,0.675,0.5,1.0,0.5,4,3,2a8cb68d76125e6e,dc06a37141f84a2b,3,3,2,2
generated_adder_4,balance,new_n26,4,new_n27,0.6725000000000001,0.75,0.6,0.5,4,5,2a8cb68d76125e6e,a29f685b4a595ff0,3,5,2,2
generated_adder_4,balance,new_n26,5,new_n35,0.6558333333333334,0.75,0.6,0.3333333333333333,4,6,2a8cb68d76125e6e,17bcb4dd2a9e6776,3,5,2,2
generated_adder_4,balance,new_n27,1,new_n27,1.0,1.0,1.0,1.0,5,5,a29f685b4a595ff0,a29f685b4a595ff0,5,5,2,2
