benchmark,optimization,optimized_node,original_candidate,sat_status,union_support_size,exact_distance,sample_size,seed,sampled_distance,absolute_error,exact_rank,sampled_rank,absolute_rank_delta
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,4096,1,0.37353515625,0.00146484375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,4096,2,0.369140625,0.005859375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,4096,3,0.3701171875,0.0048828125,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,4096,4,0.3818359375,0.0068359375,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,8192,0,0.3671875,0.0078125,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,8192,1,0.37109375,0.00390625,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,8192,2,0.3668212890625,0.0081787109375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,8192,3,0.381103515625,0.006103515625,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,8192,4,0.3736572265625,0.0013427734375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,128,0,0.171875,0.078125,18.5,12.5,6.0
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,128,1,0.2265625,0.0234375,18.5,17.0,1.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,128,2,0.25,0.0,18.5,18.5,0.0
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,128,3,0.28125,0.03125,18.5,20.5,2.0
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,128,4,0.2578125,0.0078125,18.5,17.0,1.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,512,0,0.271484375,0.021484375,18.5,20.5,2.0
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,512,1,0.259765625,0.009765625,18.5,22.0,3.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,512,2,0.244140625,0.005859375,18.5,19.0,0.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,512,3,0.255859375,0.005859375,18.5,17.5,1.0
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,512,4,0.26171875,0.01171875,18.5,21.0,2.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,1024,0,0.26171875,0.01171875,18.5,19.0,0.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,1024,1,0.2392578125,0.0107421875,18.5,17.5,1.0
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,1024,2,0.26953125,0.01953125,18.5,22.0,3.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,1024,3,0.25,0.0,18.5,20.0,1.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,1024,4,0.23828125,0.01171875,18.5,17.0,1.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,4096,0,0.256103515625,0.006103515625,18.5,21.0,2.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,4096,1,0.25390625,0.00390625,18.5,20.0,1.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,4096,2,0.250732421875,0.000732421875,18.5,20.0,1.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,4096,3,0.2451171875,0.0048828125,18.5,18.0,0.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,4096,4,0.259765625,0.009765625,18.5,21.0,2.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,8192,0,0.241943359375,0.008056640625,18.5,15.0,3.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,8192,1,0.257568359375,0.007568359375,18.5,22.0,3.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,8192,2,0.2470703125,0.0029296875,18.5,19.0,0.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,8192,3,0.2513427734375,0.0013427734375,18.5,18.0,0.5
external_iscas85_c2670,compress2rs,new_n481,new_n530,verified,11,0.25,8192,4,0.25390625,0.00390625,18.5,22.0,3.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,128,0,0.25,0.0,18.5,19.0,0.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,128,1,0.21875,0.03125,18.5,16.0,2.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,128,2,0.203125,0.046875,18.5,14.0,4.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,128,3,0.25,0.0,18.5,17.0,1.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,128,4,0.2890625,0.0390625,18.5,19.0,0.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,512,0,0.228515625,0.021484375,18.5,16.0,2.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,512,1,0.216796875,0.033203125,18.5,15.0,3.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,512,2,0.248046875,0.001953125,18.5,20.0,1.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,512,3,0.275390625,0.025390625,18.5,21.5,3.0
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,512,4,0.24609375,0.00390625,18.5,20.0,1.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,1024,0,0.2763671875,0.0263671875,18.5,22.0,3.5
