validation_layer,total_same_polarity_rejected,same_polarity_verified,complemented_verified,rejected_both_polarities,inconclusive,complemented_verification_rate
rank1_nonexact_recovery,425,0,0,425,0,0.0
topk_nonexact_recovery,1993,0,0,1993,0,0.0
