stable_target_id,base_target_node,expansion_radius,replaced_nodes,frontier_outputs,interface_inputs,residual_inputs,truth_table_hashes,rewrite_artifact,rewrite_emitted,graph_active,global_cec_status,promotion,blocker,schema_version
48c5e5788e430a6d,new_n22,1,[],[],"[""d2"", ""d6""]",[],{},,false,false,not_claimed,not_attempted,search_budget_exhaustion,necessity_first_targets_v1
6b8716255ebdb208,new_n15,1,[],[],"[""d2"", ""d3""]",[],{},,false,false,not_claimed,not_attempted,search_budget_exhaustion,necessity_first_targets_v1
868c3cfdf581d7c0,new_n32,1,[],[],"[""d0"", ""d4"", ""s0""]",[],{},,false,false,not_claimed,not_attempted,search_budget_exhaustion,necessity_first_targets_v1
bb8c4b2107d20992,new_n22,1,[],[],"[""d3"", ""d4""]",[],{},,false,false,not_claimed,not_attempted,search_budget_exhaustion,necessity_first_targets_v1
f114ebc2ccc5f399,new_n15,1,[],[],"[""d0"", ""d4"", ""s1""]",[],{},,false,false,not_claimed,not_attempted,search_budget_exhaustion,necessity_first_targets_v1
d0acdf86fe225ffe,new_n29,1,[],[],"[""d2"", ""d6""]",[],{},,false,false,not_claimed,not_attempted,search_budget_exhaustion,necessity_first_targets_v1
cde9e114d4be7283,new_n26,1,[],[],"[""d0"", ""d3"", ""s1""]",[],{},,false,false,not_claimed,not_attempted,search_budget_exhaustion,necessity_first_targets_v1
f88000aa6cd5b126,new_n31,1,[],[],"[""d0"", ""d1"", ""d2"", ""s0""]",[],{},,false,false,not_claimed,not_attempted,search_budget_exhaustion,necessity_first_targets_v1
8035e9f4b2922f75,new_n32,1,[],[],"[""d0"", ""d4"", ""s0""]",[],{},,false,false,not_claimed,not_attempted,search_budget_exhaustion,necessity_first_targets_v1
aeb284d48148cacc,new_n23,1,[],[],"[""d0"", ""s2""]",[],{},,false,false,not_claimed,not_attempted,target_not_output_reachable,necessity_first_targets_v1
2f3ded849a259150,new_n30,1,[],[],"[""d2"", ""d6""]",[],{},,false,false,not_claimed,not_attempted,search_budget_exhaustion,necessity_first_targets_v1
