stable_target_id,scope,status,abc_available,claimed_global,reason,schema_version
f0b703ccb6f1d95d,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
f0b703ccb6f1d95d,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
d049016af490d397,S_vs_Sprime,not_run,true,false,input_lower_bound_above_previous_bound,necessity_first_targets_v1
d049016af490d397,Sprime_vs_I,not_run,true,false,input_lower_bound_above_previous_bound,necessity_first_targets_v1
ba728e449636e70a,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
ba728e449636e70a,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
9595683b7ec9ce2c,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
9595683b7ec9ce2c,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
59c67c797ca6b886,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
59c67c797ca6b886,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
c4430c12331356b6,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
c4430c12331356b6,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
f3ddd1b38dc650de,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
f3ddd1b38dc650de,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
e5abd6629f420240,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
e5abd6629f420240,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
373a3d96f64cae37,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
373a3d96f64cae37,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
a51006c0de3b87e1,S_vs_Sprime,not_run,true,false,input_lower_bound_above_previous_bound,necessity_first_targets_v1
a51006c0de3b87e1,Sprime_vs_I,not_run,true,false,input_lower_bound_above_previous_bound,necessity_first_targets_v1
6257dd9a982e4598,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
6257dd9a982e4598,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
1255dd6ffc4d8f20,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
1255dd6ffc4d8f20,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
dfdb5218b3fce6d7,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
dfdb5218b3fce6d7,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
bcb02d2e7c2609d7,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
bcb02d2e7c2609d7,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
36d89ab6b178da54,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
36d89ab6b178da54,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
8ff86a5a4c26ac90,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
8ff86a5a4c26ac90,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
e97620e6c2babf13,S_vs_Sprime,equivalent,true,false,identical_driver,necessity_first_targets_v1
e97620e6c2babf13,Sprime_vs_I,equivalent,true,false,identical_driver,necessity_first_targets_v1
3b2fc8360b7e79ac,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
3b2fc8360b7e79ac,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
5d9170f310054caa,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
5d9170f310054caa,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
b9432edb6c824047,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
b9432edb6c824047,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
40a47f1e357957aa,S_vs_Sprime,equivalent,true,false,identical_driver,necessity_first_targets_v1
40a47f1e357957aa,Sprime_vs_I,equivalent,true,false,identical_driver,necessity_first_targets_v1
8260b9f1b6160cfc,S_vs_Sprime,equivalent,true,false,identical_driver,necessity_first_targets_v1
8260b9f1b6160cfc,Sprime_vs_I,equivalent,true,false,identical_driver,necessity_first_targets_v1
e542ef81b25bbdce,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
e542ef81b25bbdce,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
9d0cf8cf978db7ad,S_vs_Sprime,equivalent,true,false,identical_driver,necessity_first_targets_v1
