stable_target_id,benchmark_id,flow,optimized_target_node,target_origin,rank,score,source_blind,schema_version
f0b703ccb6f1d95d,generated_adder_4,dc2,new_n21,ranked_internal_node,1,120.973,true,necessity_first_targets_v1
d049016af490d397,generated_adder_4,dc2,new_n32,ranked_internal_node,2,120.875,true,necessity_first_targets_v1
ba728e449636e70a,generated_adder_4,dc2,new_n36,ranked_internal_node,3,120.816,true,necessity_first_targets_v1
9595683b7ec9ce2c,generated_adder_4,dc2,new_n22,ranked_internal_node,4,120.655,true,necessity_first_targets_v1
59c67c797ca6b886,generated_adder_4,dc2,new_n28,ranked_internal_node,5,120.545,true,necessity_first_targets_v1
c4430c12331356b6,generated_adder_4,dc2,new_n18,ranked_internal_node,6,120.490,true,necessity_first_targets_v1
f3ddd1b38dc650de,generated_adder_4,dc2,new_n38,ranked_internal_node,7,120.471,true,necessity_first_targets_v1
e5abd6629f420240,generated_adder_4,dc2,new_n25,ranked_internal_node,8,120.427,true,necessity_first_targets_v1
373a3d96f64cae37,generated_adder_4,resyn2,new_n21,ranked_internal_node,1,120.973,true,necessity_first_targets_v1
a51006c0de3b87e1,generated_adder_4,resyn2,new_n32,ranked_internal_node,2,120.875,true,necessity_first_targets_v1
6257dd9a982e4598,generated_adder_4,resyn2,new_n36,ranked_internal_node,3,120.816,true,necessity_first_targets_v1
1255dd6ffc4d8f20,generated_adder_4,resyn2,new_n22,ranked_internal_node,4,120.655,true,necessity_first_targets_v1
dfdb5218b3fce6d7,generated_adder_4,resyn2,new_n28,ranked_internal_node,5,120.545,true,necessity_first_targets_v1
bcb02d2e7c2609d7,generated_adder_4,resyn2,new_n18,ranked_internal_node,6,120.490,true,necessity_first_targets_v1
36d89ab6b178da54,generated_adder_4,resyn2,new_n38,ranked_internal_node,7,120.471,true,necessity_first_targets_v1
8ff86a5a4c26ac90,generated_adder_4,resyn2,new_n25,ranked_internal_node,8,120.427,true,necessity_first_targets_v1
e97620e6c2babf13,generated_mux_tree_4,dc2,new_n13,ranked_internal_node,1,110.878,true,necessity_first_targets_v1
3b2fc8360b7e79ac,generated_mux_tree_4,dc2,new_n14,ranked_internal_node,2,110.843,true,necessity_first_targets_v1
5d9170f310054caa,generated_mux_tree_4,dc2,new_n15,ranked_internal_node,3,110.831,true,necessity_first_targets_v1
b9432edb6c824047,generated_mux_tree_4,dc2,new_n10,ranked_internal_node,4,110.800,true,necessity_first_targets_v1
40a47f1e357957aa,generated_mux_tree_4,dc2,new_n8,ranked_internal_node,5,110.545,true,necessity_first_targets_v1
8260b9f1b6160cfc,generated_mux_tree_4,dc2,new_n12,ranked_internal_node,6,110.282,true,necessity_first_targets_v1
e542ef81b25bbdce,generated_mux_tree_4,dc2,new_n11,ranked_internal_node,7,110.271,true,necessity_first_targets_v1
9d0cf8cf978db7ad,generated_mux_tree_4,dc2,new_n9,ranked_internal_node,8,110.184,true,necessity_first_targets_v1
bbcae55a2b79726f,generated_mux_tree_4,resyn2,new_n8,ranked_internal_node,1,110.949,true,necessity_first_targets_v1
1a4ee0508c00ee05,generated_mux_tree_4,resyn2,new_n12,ranked_internal_node,2,110.859,true,necessity_first_targets_v1
6eb93e4570dc5846,generated_mux_tree_4,resyn2,new_n15,ranked_internal_node,3,110.831,true,necessity_first_targets_v1
