graft_id,target_id,region_id,mapping_category,anchor_origin,evidence_level,equivalence_scope,boundary_utility,proof_status,valid_ebi_ebo_cut,cycle_free,incoming_bypass_count,outgoing_bypass_count,whole_design_expansion,global_cec_status,accepted,failure_reason,schema_version
semantic_graft_0018,semantic_target_0018,arithmetic_constant_multiply_w4__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0019,semantic_target_0019,arithmetic_constant_multiply_w4__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0020,semantic_target_0020,arithmetic_constant_multiply_w6__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0021,semantic_target_0021,arithmetic_constant_multiply_w6__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0022,semantic_target_0022,arithmetic_constant_multiply_w8__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0023,semantic_target_0023,arithmetic_constant_multiply_w8__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0024,semantic_target_0024,bitmanip_sign_extend_w6__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0025,semantic_target_0025,bitmanip_sign_extend_w6__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0026,semantic_target_0026,bitmanip_sign_extend_w8__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0027,semantic_target_0027,bitmanip_sign_extend_w8__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0028,semantic_target_0028,bitmanip_zero_extend_w6__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0029,semantic_target_0029,bitmanip_zero_extend_w6__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0030,semantic_target_0030,bitmanip_zero_extend_w8__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0031,semantic_target_0031,bitmanip_zero_extend_w8__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0032,semantic_target_0032,arithmetic_affine_w2__balance__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0033,semantic_target_0033,arithmetic_affine_w2__resyn__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0034,semantic_target_0034,arithmetic_affine_w2__rewrite__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0035,semantic_target_0035,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0036,semantic_target_0036,arithmetic_constant_multiply_w2__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
