target_id,region_id,selection_mode,boundary_utility_score,distance_to_failed_frontier,fanout_relevance,semantic_recoverability,expression_cost,proof_cost,cycle_risk,whole_design_expansion_risk,selected,schema_version
semantic_target_0034,arithmetic_affine_w2__rewrite__whole_output_cone,boundary_utility_aware,0.850000,unknown,0.000000,1.000000,3,0.001040,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0035,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.001929,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0036,arithmetic_constant_multiply_w2__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.001346,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0037,arithmetic_constant_multiply_w2__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.001268,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0038,arithmetic_constant_multiply_w2__resyn2__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.001968,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0039,arithmetic_constant_multiply_w3__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.002971,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0040,arithmetic_constant_multiply_w3__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.002959,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0041,arithmetic_constant_multiply_w4__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.006536,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0042,arithmetic_constant_multiply_w4__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.006500,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0043,arithmetic_constant_multiply_w6__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.033726,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0044,arithmetic_constant_multiply_w6__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.032028,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0045,arithmetic_constant_multiply_w8__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.198438,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0046,arithmetic_constant_multiply_w8__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.209867,unknown,unknown,true,semantic_graft_target_v1
