graft_id,target_id,region_id,mapping_category,anchor_origin,evidence_level,equivalence_scope,boundary_utility,proof_status,valid_ebi_ebo_cut,cycle_free,incoming_bypass_count,outgoing_bypass_count,whole_design_expansion,global_cec_status,accepted,failure_reason,schema_version
semantic_graft_0001,semantic_target_0001,arithmetic_affine_w2__balance__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_exhaustive,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,no_graph_active_frontier_found,semantic_graft_v1
semantic_graft_0002,semantic_target_0002,arithmetic_affine_w2__resyn__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_exhaustive,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,no_graph_active_frontier_found,semantic_graft_v1
semantic_graft_0003,semantic_target_0003,arithmetic_affine_w2__rewrite__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_exhaustive,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,no_graph_active_frontier_found,semantic_graft_v1
