seed_id,benchmark,split,candidate_status,decomposition_status,quotient_status,global_cec_status,restored_boundary,failure_stage,failure_reason,schema_version
real_seed_0001,real_seed_0001,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0002,real_seed_0002,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,distributed_consumers_no_bounded_quotient_window,semantic_functional_refactoring_v1
real_seed_0003,real_seed_0003,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0004,real_seed_0004,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,window_exceeds_bounds_or_whole_design_risk,semantic_functional_refactoring_v1
real_seed_0005,real_seed_0005,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0006,real_seed_0006,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_exact_nonvacuous_decomposition_found_under_bounds,semantic_functional_refactoring_v1
real_seed_0007,real_seed_0007,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0008,real_seed_0008,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,distributed_consumers_no_bounded_quotient_window,semantic_functional_refactoring_v1
real_seed_0009,real_seed_0009,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0010,real_seed_0010,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,window_exceeds_bounds_or_whole_design_risk,semantic_functional_refactoring_v1
real_seed_0011,real_seed_0011,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0012,real_seed_0012,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_exact_nonvacuous_decomposition_found_under_bounds,semantic_functional_refactoring_v1
real_seed_0013,real_seed_0013,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0014,real_seed_0014,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,distributed_consumers_no_bounded_quotient_window,semantic_functional_refactoring_v1
real_seed_0015,real_seed_0015,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0016,real_seed_0016,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,window_exceeds_bounds_or_whole_design_risk,semantic_functional_refactoring_v1
real_seed_0017,real_seed_0017,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0018,real_seed_0018,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_exact_nonvacuous_decomposition_found_under_bounds,semantic_functional_refactoring_v1
real_seed_0019,real_seed_0019,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0020,real_seed_0020,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,distributed_consumers_no_bounded_quotient_window,semantic_functional_refactoring_v1
real_seed_0021,real_seed_0021,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
real_seed_0022,real_seed_0022,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,window_exceeds_bounds_or_whole_design_risk,semantic_functional_refactoring_v1
real_seed_0023,real_seed_0023,dev,evaluated_source_blind_accounting,not_found_under_bounds,not_synthesized,not_run,false,real_functional_refactoring_search,no_semantic_divisor_window_interface_under_bounds,semantic_functional_refactoring_v1
