split,attempted,decomposable,quotients_proved,graph_valid_rewrites,global_cec_passes,restored_boundaries,failure_reasons,schema_version
dev,49,0,0,0,0,0,"{""distributed_consumers_no_bounded_quotient_window"": 7, ""no_exact_nonvacuous_decomposition_found_under_bounds"": 6, ""no_relevant_consumer_window_or_verified_divisor_under_bounds"": 9, ""no_semantic_divisor_window_interface_under_bounds"": 20, ""window_exceeds_bounds_or_whole_design_risk"": 7}",semantic_functional_refactoring_v1
heldout,9,0,0,0,0,0,"{""distributed_consumers_no_bounded_quotient_window"": 1, ""no_exact_nonvacuous_decomposition_found_under_bounds"": 1, ""no_relevant_consumer_window_or_verified_divisor_under_bounds"": 3, ""no_semantic_divisor_window_interface_under_bounds"": 3, ""window_exceeds_bounds_or_whole_design_risk"": 1}",semantic_functional_refactoring_v1
