target_id,split,source_result,candidate_status,counterpart_status,semantic_counterpart_inferred,graph_active_recovery,promoted_evidence_level,blocker,source_blind,schema_version
controlled_nonmonotonic_factor__b0,heldout,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,heldout,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,heldout,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,heldout,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,heldout,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
controlled_xor_factor__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
full_adder_carry__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
full_adder_carry__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
full_adder_carry__b0,heldout,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
full_adder_carry__b0,dev,fresh_utility_target,evaluated_source_blind_accounting,not_proved,false,false,not_recovered,no_globally_anchored_cut,true,evidence_advancement_v1
