case_id,benchmark,optimization,coi_name,materialized_wire_name,source_spec_nodes,target_impl_node,cut_id,expression_id,added_logic_node_count,added_gate_count,augmented_spec_path,provenance_manifest,generation_status,failure_reason
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,generated_mux_tree_8,dc2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n24_new_n24_4190c9b636,d5;s0,new_n24,new_n24|cut3,expr_0b08e3dcc50fe4e5,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n24_new_n24_4190c9b636.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n24_new_n24_4190c9b636', 'target_impl_node': 'new_n24', 'cut_id': 'new_n24|cut3', 'expression_id': 'expr_0b08e3dcc50fe4e5', 'spec_leaf_nodes': ['d5', 's0'], 'impl_leaf_order': ['d5', 's0'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': '0b08e3dcc50fe4e5'}",generated,
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,generated_mux_tree_8,dc2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n27_new_n27_453de3f176,d0;s0,new_n27,new_n27|cut3,expr_40510175845988f1,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n27_new_n27_453de3f176.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n27_new_n27_453de3f176', 'target_impl_node': 'new_n27', 'cut_id': 'new_n27|cut3', 'expression_id': 'expr_40510175845988f1', 'spec_leaf_nodes': ['d0', 's0'], 'impl_leaf_order': ['d0', 's0'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': '40510175845988f1'}",generated,
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,generated_mux_tree_8,dc2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n28_new_n28_8da8515b80,d4;s0,new_n28,new_n28|cut3,expr_0b08e3dcc50fe4e5,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n28_new_n28_8da8515b80.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n28_new_n28_8da8515b80', 'target_impl_node': 'new_n28', 'cut_id': 'new_n28|cut3', 'expression_id': 'expr_0b08e3dcc50fe4e5', 'spec_leaf_nodes': ['d4', 's0'], 'impl_leaf_order': ['d4', 's0'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': '0b08e3dcc50fe4e5'}",generated,
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,generated_mux_tree_8,dc2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n15_new_n15_36e843eb8c,d7;s0;s2,new_n15,new_n15|cut7,expr_73c3c0ab5a84605d,1,3,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n15_new_n15_36e843eb8c.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n15_new_n15_36e843eb8c', 'target_impl_node': 'new_n15', 'cut_id': 'new_n15|cut7', 'expression_id': 'expr_73c3c0ab5a84605d', 'spec_leaf_nodes': ['d7', 's0', 's2'], 'impl_leaf_order': ['d7', 's0', 's2'], 'leaf_polarities': ['same', 'same', 'same'], 'truth_table_hash': '73c3c0ab5a84605d'}",generated,
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,generated_mux_tree_8,dc2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n19_new_n19_f6f100ce9d,d2;d6;s0,new_n19,new_n19|cut7,expr_30b3a50f9cd967c3,1,4,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n19_new_n19_f6f100ce9d.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n19_new_n19_f6f100ce9d', 'target_impl_node': 'new_n19', 'cut_id': 'new_n19|cut7', 'expression_id': 'expr_30b3a50f9cd967c3', 'spec_leaf_nodes': ['d2', 'd6', 's0'], 'impl_leaf_order': ['d2', 'd6', 's0'], 'leaf_polarities': ['same', 'same', 'same'], 'truth_table_hash': '30b3a50f9cd967c3'}",generated,
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,generated_mux_tree_8,dc2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n29_new_n29_96faa35436,d0;d4;s0,new_n29,new_n29|cut7,expr_30b3a50f9cd967c3,1,4,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n29_new_n29_96faa35436.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n29_new_n29_96faa35436', 'target_impl_node': 'new_n29', 'cut_id': 'new_n29|cut7', 'expression_id': 'expr_30b3a50f9cd967c3', 'spec_leaf_nodes': ['d0', 'd4', 's0'], 'impl_leaf_order': ['d0', 'd4', 's0'], 'leaf_polarities': ['same', 'same', 'same'], 'truth_table_hash': '30b3a50f9cd967c3'}",generated,
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,generated_mux_tree_8,resyn2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n15_new_n15_2711578990,new_n16;s1,new_n15,new_n15|cut3,expr_40510175845988f1,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n15_new_n15_2711578990.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n15_new_n15_2711578990', 'target_impl_node': 'new_n15', 'cut_id': 'new_n15|cut3', 'expression_id': 'expr_40510175845988f1', 'spec_leaf_nodes': ['new_n16', 's1'], 'impl_leaf_order': ['new_n13', 's1'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': '40510175845988f1'}",generated,
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,generated_mux_tree_8,resyn2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n19_new_n19_b23e96bf24,new_n13;s1,new_n19,new_n19|cut3,expr_0b08e3dcc50fe4e5,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n19_new_n19_b23e96bf24.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n19_new_n19_b23e96bf24', 'target_impl_node': 'new_n19', 'cut_id': 'new_n19|cut3', 'expression_id': 'expr_0b08e3dcc50fe4e5', 'spec_leaf_nodes': ['new_n13', 's1'], 'impl_leaf_order': ['new_n17', 's1'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': '0b08e3dcc50fe4e5'}",generated,
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,generated_mux_tree_8,resyn2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n29_new_n29_b6193c8209,new_n22;s1,new_n29,new_n29|cut3,expr_0b08e3dcc50fe4e5,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n29_new_n29_b6193c8209.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n29_new_n29_b6193c8209', 'target_impl_node': 'new_n29', 'cut_id': 'new_n29|cut3', 'expression_id': 'expr_0b08e3dcc50fe4e5', 'spec_leaf_nodes': ['new_n22', 's1'], 'impl_leaf_order': ['new_n27', 's1'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': '0b08e3dcc50fe4e5'}",generated,
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,generated_mux_tree_8,resyn2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n20_new_n20_67033545c9,new_n13;new_n14;s1,new_n20,new_n20|cut7,expr_95100b3f99837d6c,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n20_new_n20_67033545c9.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_resyn2_new_n20_new_n20_67033545c9', 'target_impl_node': 'new_n20', 'cut_id': 'new_n20|cut7', 'expression_id': 'expr_95100b3f99837d6c', 'spec_leaf_nodes': ['new_n13', 'new_n14', 's1'], 'impl_leaf_order': ['new_n17', 'new_n18', 's1'], 'leaf_polarities': ['same', 'same', 'same'], 'truth_table_hash': '95100b3f99837d6c'}",generated,
