mode,unique_source_cases,regions,verified_regions,formal_recovery_rate,cegis_iterations,counterexamples,timeouts,schema_version
blind_parametric_cegis,1,24,3,0.125000,28,4,0,blind_semantic_evaluation_v1
oracle_bus_cegis_ablation,0,0,0,0.000000,0,0,0,blind_semantic_evaluation_v1
