candidate_id,region_id,iteration,examples_before,examples_after,candidate_parameters,candidate_expression,solver_status,counterexample_assignment,output_difference,synthesis_runtime,verification_runtime,final_proof_status,termination_reason,schema_version
arithmetic_affine_w2__rewrite__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__rewrite__whole_output_cone,1,1,1,"{""alpha"":""bounded_enumeration""}","mul<5,unsigned>(5'd0,input1)",unsat,{},0,0.000055,0.000181,formally_verified_region,equivalence_proven,blind_semantic_cegis_v1
arithmetic_affine_w3__balance__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__balance__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,"{""input1"":1}",2,0.000263,0.000190,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w3__balance__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003899,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w3__compress2rs__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__compress2rs__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,"{""input1"":1}",2,0.000216,0.000148,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w3__compress2rs__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003216,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w3__dc2__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__dc2__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,"{""input1"":1}",2,0.000213,0.000142,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w3__dc2__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003273,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w3__identity__ground_truth_region__blind_cegis__0012,arithmetic_affine_w3__identity__ground_truth_region,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<6,unsigned>(6'd5,mul<6,unsigned>(6'd5,input1))",sat,"{""input1"":1}",2,0.000606,0.000162,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w3__identity__ground_truth_region,2,2,2,{},,unsat_examples,{},0,0.003210,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w3__identity__whole_output_cone__blind_cegis__0012,arithmetic_affine_w3__identity__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<6,unsigned>(6'd5,mul<6,unsigned>(6'd5,input1))",sat,"{""input1"":1}",2,0.000597,0.000148,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w3__identity__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003215,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w3__refactor__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__refactor__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,"{""input1"":1}",10,0.000232,0.000166,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w3__refactor__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003500,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w3__resub__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__resub__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,"{""input1"":1}",2,0.000241,0.000159,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w3__resub__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003610,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w3__resyn__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__resyn__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,"{""input1"":1}",2,0.000252,0.000166,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w3__resyn__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003870,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w3__resyn2__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__resyn2__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,"{""input1"":1}",2,0.000217,0.000138,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w3__resyn2__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003202,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w3__rewrite__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__rewrite__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,"{""input1"":1}",2,0.000256,0.000182,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w3__rewrite__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003889,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w4__balance__whole_output_cone__blind_cegis__0004,arithmetic_affine_w4__balance__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<7,unsigned>(7'd1,mul<7,unsigned>(7'd1,input1))",sat,"{""input1"":1}",2,0.000459,0.000314,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w4__balance__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.006399,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w4__compress2rs__whole_output_cone__blind_cegis__0012,arithmetic_affine_w4__compress2rs__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<7,unsigned>(7'd5,mul<7,unsigned>(7'd5,input1))",sat,"{""input1"":1}",2,0.000914,0.000226,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w4__compress2rs__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.004963,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
