mode,unique_cases_attempted,unique_cases_recovered,regions_attempted,regions_recovered,width_12_or_16_attempted,width_12_or_16_recovered,iterations,counterexamples,timeouts,schema_version
blind,16,10,80,23,4,4,195,115,0,z3_blind_oracle_summary_v1
oracle_bus,16,10,80,23,4,4,184,104,0,z3_blind_oracle_summary_v1
