analysis_target_id,target_id,scope,status,abc_available,claimed_global,failure_reason,schema_version
real_0001,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,source_vs_rewritten_source,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0001,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,rewritten_source_vs_optimized,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0002,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,source_vs_rewritten_source,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0002,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,rewritten_source_vs_optimized,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0003,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,source_vs_rewritten_source,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0003,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,rewritten_source_vs_optimized,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0004,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,source_vs_rewritten_source,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0004,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,rewritten_source_vs_optimized,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0005,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,source_vs_rewritten_source,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0005,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,rewritten_source_vs_optimized,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0006,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,source_vs_rewritten_source,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0006,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,rewritten_source_vs_optimized,not_run,true,false,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0007,generated_mux_tree_4|mux_tree_root|dc2|new_n10,source_vs_rewritten_source,not_run,true,false,exact_compact_output_interface_found,formal_locality_barriers_v1
