split,targets,compact_interfaces,whole_design_only,provenance_failures,lower_bounds,unresolved,schema_version
dev,45,16,0,29,0,0,formal_locality_barriers_v1
heldout,11,4,0,7,0,0,formal_locality_barriers_v1
