certificate_id,target_id,benchmark,split,failure_group,source_path,optimized_path,source_hash,optimized_hash,pi_alignment_hash,target_vector,universe_id,universe_hash,universe_mode,universe_size,locality_radius,tested_interface,counterexample_ids,hitting_set_constraints_hash,proved_lower_bound,best_upper_bound,exact_minimum_status,solver_backend,solver_status,timeout,proof_runtime,reproducibility_seed,failure_reason,classification,diagnostic_only,source_blind,schema_version
834be52413d28c64,real_0005,generated_adder_4,heldout,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_resyn2.blif,816beedc406166dc,9a32b8a223179572,f7a6b68b1341f5a9,"[""new_n17""]",real_0005::U0_direct_name_intersection,f9908c963d9035c7,U0_direct_name_intersection,3,0,"[""new_n17""]","[""b999438e2959ea22_cex"", ""bcafd34d4a251e9b_cex""]",f31b50eeabd2acb8,1,1,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.025649,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
f1d12bd2f1f3b9cc,real_0006,generated_adder_4,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_resyn2.blif,816beedc406166dc,9a32b8a223179572,f7a6b68b1341f5a9,"[""new_n19""]",real_0006::U0_direct_name_intersection,bfb04fe84b5fedb1,U0_direct_name_intersection,4,0,"[""a0"", ""b0"", ""cin""]","[""4520ee67b162b121_cex"", ""6e5eaec0d830a28a_cex"", ""466743204142ee3d_cex""]",3f0f12fc758cfcbd,3,3,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.038334,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
9c4b370f9f20965d,real_0007,generated_mux_tree_4,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_4_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_4_dc2.blif,9d02241cce43005c,9c17f5c689a54e84,4743071acff2bbf8,"[""new_n10""]",real_0007::U0_direct_name_intersection,7e218e3203e13cb8,U0_direct_name_intersection,4,0,"[""d2"", ""s0"", ""s1""]","[""a6da411f34b62250_cex"", ""6164f9f58abfa562_cex"", ""cb343e0799785de9_cex"", ""75622f049caef25e_cex"", ""656f7e27f613d5ca_cex"", ""83edd8c72272f4bb_cex""]",9c02c1447bea3e38,3,3,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.005309,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
7b8917bd7dcc231a,real_0008,generated_mux_tree_4,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_4_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_4_resyn2.blif,9d02241cce43005c,ac0c6494d81e03ec,4743071acff2bbf8,"[""new_n12""]",real_0008::U0_direct_name_intersection,aa983555e3833049,U0_direct_name_intersection,3,0,"[""d1"", ""s1""]","[""b78a139f00eaceda_cex"", ""a37d080a54054fb3_cex"", ""bb6268af982d778f_cex""]",9a907a4811a48cb4,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.002937,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
3f2903f42155f815,real_0009,generated_mux_tree_4,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_4_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_4_resyn2.blif,9d02241cce43005c,ac0c6494d81e03ec,4743071acff2bbf8,"[""new_n9""]",real_0009::U0_direct_name_intersection,573af1bd22b08b1a,U0_direct_name_intersection,3,0,"[""d2"", ""s1""]","[""58d0471ad14202f9_cex"", ""1e335ecaef09a4b0_cex""]",008be2a306e4722e,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.001858,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
cf7412ba896b42a2,real_0010,generated_mux_tree_8,heldout,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_dc2.blif,eebf0e6858f7fd66,34d3b34ad2942b5b,35a7934265343f89,"[""new_n18""]",real_0010::U0_direct_name_intersection,0d21aaf4991c4414,U0_direct_name_intersection,3,0,"[""d6"", ""s0""]","[""ff4787d61f94879e_cex"", ""35f1a5a93748cde3_cex"", ""7f13bbee565e8b64_cex"", ""fa71b93739768d15_cex"", ""9f53a7042d751f4c_cex""]",78d4f92973ae8231,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.108761,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
3915c2df16080ab2,real_0011,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_dc2.blif,eebf0e6858f7fd66,34d3b34ad2942b5b,35a7934265343f89,"[""new_n24""]",real_0011::U0_direct_name_intersection,8ca59fc6d8ba7631,U0_direct_name_intersection,3,0,"[""d5"", ""s0""]","[""e3dbc52c786e9dab_cex"", ""94eef836f86bbeb3_cex"", ""66ca49ae0880f335_cex"", ""02f85a60034155a9_cex"", ""8ea82415df748700_cex""]",b3567ef9b190c3ba,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.107585,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
6881030f27396a3b,real_0012,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_dc2.blif,eebf0e6858f7fd66,34d3b34ad2942b5b,35a7934265343f89,"[""new_n27""]",real_0012::U0_direct_name_intersection,961da7fe7ecb9996,U0_direct_name_intersection,3,0,"[""d0"", ""s0""]","[""c136fd2be1fdb1ab_cex"", ""5899de870afdcbb2_cex""]",c856949aa23fdc07,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.073339,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
fc80994f8d4c63cb,real_0013,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_dc2.blif,eebf0e6858f7fd66,34d3b34ad2942b5b,35a7934265343f89,"[""new_n28""]",real_0013::U0_direct_name_intersection,1ac37573568b1eb0,U0_direct_name_intersection,3,0,"[""d4"", ""s0""]","[""7ae6784055301ffd_cex"", ""319d9ba0149a7274_cex"", ""76bc26ad0c324e2a_cex"", ""b6da44c3c6add78e_cex"", ""9cc5e97009d064d0_cex""]",98f6674508b215bb,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.110367,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
9e4cd85837be21f8,real_0014,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_dc2.blif,eebf0e6858f7fd66,34d3b34ad2942b5b,35a7934265343f89,"[""new_n15""]",real_0014::U0_direct_name_intersection,d763b92162956469,U0_direct_name_intersection,4,0,"[""d7"", ""s0"", ""s2""]","[""6f160acf6eccde85_cex"", ""fd99623545b923b1_cex"", ""090d4040bb9446bf_cex"", ""ede185670342e0fe_cex"", ""fd42848d8f9efd53_cex"", ""7e936153aafb2e4d_cex"", ""048296531397aeeb_cex"", ""7bc6f0142fc3e680_cex"", ""896f957bd3199d49_cex"", ""88172fec38837be0_cex"", ""66eacef24e2cbfae_cex""]",c7cb8ad7a4ae107f,3,3,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.443138,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
4403591e462ad845,real_0015,generated_mux_tree_8,heldout,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_dc2.blif,eebf0e6858f7fd66,34d3b34ad2942b5b,35a7934265343f89,"[""new_n19""]",real_0015::U0_direct_name_intersection,9e3675b0629b4a30,U0_direct_name_intersection,4,0,"[""d2"", ""d6"", ""s0""]","[""b5552a51b9b6e3f0_cex"", ""9908755a4c59a5d5_cex"", ""0b814746da360cba_cex"", ""5419b2c90e4f8380_cex"", ""e8e7617ae3dde1f3_cex"", ""be76bf6d61d91cf3_cex""]",a128df3fc2a00637,3,3,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.107346,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
1cc75f938d0be9de,real_0016,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_dc2.blif,eebf0e6858f7fd66,34d3b34ad2942b5b,35a7934265343f89,"[""new_n29""]",real_0016::U0_direct_name_intersection,1d254689624167f2,U0_direct_name_intersection,4,0,"[""d0"", ""d4"", ""s0""]","[""86600e8b572a4cc5_cex"", ""dfd242287f065b9f_cex"", ""65636a1dade60d85_cex"", ""9837a4da8c893d5a_cex""]",b2c762676ed4aebe,3,3,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.089698,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
0c64e981a7b514f4,real_0017,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_resyn2.blif,eebf0e6858f7fd66,25044f0097f06ad4,35a7934265343f89,"[""new_n15""]",real_0017::U0_direct_name_intersection,355465fdf877a52d,U0_direct_name_intersection,4,0,"[""d4"", ""s1"", ""s2""]","[""eaee47827255f779_cex"", ""88be70c255b1d060_cex"", ""941a91d962901901_cex"", ""0f913d099d4a6930_cex"", ""260e8a08aa0e5f97_cex""]",361119e0f76508a6,3,3,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.160308,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
539d14ebfde4c1e2,real_0018,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_resyn2.blif,eebf0e6858f7fd66,25044f0097f06ad4,35a7934265343f89,"[""new_n19""]",real_0018::U0_direct_name_intersection,a53a0640b7b8686c,U0_direct_name_intersection,4,0,"[""d6"", ""s1"", ""s2""]","[""5c08b5337992f87f_cex"", ""2fc8e78ebeffbd17_cex"", ""57c42cbc5090f649_cex"", ""79bf7963a587168e_cex"", ""d3e9d259c0d5c7a2_cex"", ""2e96c0df7465e878_cex""]",89e144e1c7a2e4e6,3,3,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.194206,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
db79e6b6f8f9a4b3,real_0019,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_resyn2.blif,eebf0e6858f7fd66,25044f0097f06ad4,35a7934265343f89,"[""new_n29""]",real_0019::U0_direct_name_intersection,235b4d56b63785ad,U0_direct_name_intersection,4,0,"[""d2"", ""s1"", ""s2""]","[""bc01a575f5934156_cex"", ""a64fef6fb45378cc_cex"", ""630b23ea4a76d343_cex"", ""45a46793a88f5de9_cex"", ""e78d03d7d27e6cdc_cex"", ""43e8f3672e488877_cex""]",b04850a1b88a4dc8,3,3,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.256023,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
eaf7f8deebc222d5,real_0020,generated_mux_tree_8,heldout,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_mux_tree_8_resyn2.blif,eebf0e6858f7fd66,25044f0097f06ad4,35a7934265343f89,"[""new_n20""]",real_0020::U0_direct_name_intersection,620ea4b07e38eae6,U0_direct_name_intersection,5,0,"[""new_n20"", ""s1""]","[""67cc8ea55f07b15c_cex"", ""8eefa0795979bcd5_cex"", ""b2ba4f3ef1e38253_cex"", ""1f69165708e73320_cex"", ""0f67fe87ee61fd86_cex"", ""ae9e8165d57d8679_cex""]",1f615bd107659e15,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.214991,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
