cases,cycle_conflict_count,mean_boundary_extension_ratio,mean_extended_region_node_count,optimization,recovery_success_count,recovery_success_rate
12,0,0.0,0.8333333333333334,balance,2,0.16666666666666666
12,0,0.19444444444444445,5.833333333333333,dc2,2,0.16666666666666666
12,0,0.2549019607843137,5.333333333333333,resyn2,2,0.16666666666666666
12,0,0.0,1.1666666666666667,rewrite,2,0.16666666666666666
