benchmark,benchmark_family,coi_name,optimization,anchor_mode,spec_path,impl_path,coi_source,spec_node_count,impl_node_count,coi_node_count,extended_region_node_count,boundary_extension_ratio,original_bi_count,original_bo_count,extended_bi_count,extended_bo_count,anchor_count,cut_valid,cycle_free,cycle_resolution_iterations,cycle_conflict_count,invalidated_anchor_count,cycle_resolution_status,recovery_success,failure_reason,runtime_seconds,evidence_level,whole_design_expansion,input_boundary_distance,output_boundary_distance,mean_anchor_distance,max_anchor_distance,extended_boundary_inputs,extended_boundary_outputs,region_nodes
generated_adder_4,generated,adder_bit1_carry_sum_region,resyn2,exact_only,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,generated_ground_truth,36,28,7,7,0.0,5,2,7,2,9,False,True,0,0,0,cycle_free,False,not every fanout path from 'new_n23' crosses EBO,0.00014562509022653103,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;cin;new_n24;new_n25,new_n26;sum1,new_n21;new_n22;new_n23;new_n26;new_n27;new_n28;sum1
generated_adder_4,generated,adder_bit1_carry_sum_region,resyn2,formal_all,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,generated_ground_truth,36,28,7,7,0.0,5,2,7,2,9,False,True,0,0,0,cycle_free,False,not every fanout path from 'new_n23' crosses EBO,0.00015300000086426735,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;cin;new_n24;new_n25,new_n26;sum1,new_n21;new_n22;new_n23;new_n26;new_n27;new_n28;sum1
generated_adder_4,generated,adder_bit1_carry_sum_region,rewrite,exact_only,variants/generated_adder_4_original.blif,variants/generated_adder_4_rewrite.blif,generated_ground_truth,36,33,7,4,0.0,5,2,8,2,10,False,True,0,0,0,cycle_free,False,not every fanout path from 'new_n23' crosses EBO,0.0001449580304324627,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;cin;new_n23;new_n24;new_n25,new_n26;sum1,new_n26;new_n27;new_n28;sum1
generated_adder_4,generated,adder_bit1_carry_sum_region,rewrite,formal_all,variants/generated_adder_4_original.blif,variants/generated_adder_4_rewrite.blif,generated_ground_truth,36,33,7,4,0.0,5,2,8,2,10,False,True,0,0,0,cycle_free,False,not every fanout path from 'new_n23' crosses EBO,0.00014262483455240726,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;cin;new_n23;new_n24;new_n25,new_n26;sum1,new_n26;new_n27;new_n28;sum1
generated_multiplier_2,generated,multiplier_middle_products,balance,exact_only,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif,generated_ground_truth,12,12,5,1,0.0,4,1,6,1,7,False,True,0,0,0,cycle_free,False,COI nodes are not enclosed by recovered region,9.383284486830235e-05,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;new_n12;new_n13,p1,p1
generated_multiplier_2,generated,multiplier_middle_products,balance,formal_all,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif,generated_ground_truth,12,12,5,1,0.0,4,1,6,1,7,False,True,0,0,0,cycle_free,False,COI nodes are not enclosed by recovered region,0.00010150019079446793,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;new_n12;new_n13,p1,p1
generated_multiplier_2,generated,multiplier_middle_products,dc2,exact_only,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_dc2.blif,generated_ground_truth,12,8,5,3,0.0,4,1,6,1,7,False,True,0,0,0,cycle_free,False,not every fanout path from 'new_n10' crosses EBO,0.00010362500324845314,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;new_n10;new_n11,p1,new_n12;new_n13;p1
generated_multiplier_2,generated,multiplier_middle_products,dc2,formal_all,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_dc2.blif,generated_ground_truth,12,8,5,3,0.0,4,1,6,1,7,False,True,0,0,0,cycle_free,False,not every fanout path from 'new_n10' crosses EBO,0.0001055421307682991,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;new_n10;new_n11,p1,new_n12;new_n13;p1
generated_multiplier_2,generated,multiplier_middle_products,resyn2,exact_only,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_resyn2.blif,generated_ground_truth,12,8,5,3,0.0,4,1,6,1,7,False,True,0,0,0,cycle_free,False,not every fanout path from 'new_n10' crosses EBO,0.0001112909521907568,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;new_n10;new_n11,p1,new_n12;new_n13;p1
generated_multiplier_2,generated,multiplier_middle_products,resyn2,formal_all,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_resyn2.blif,generated_ground_truth,12,8,5,3,0.0,4,1,6,1,7,False,True,0,0,0,cycle_free,False,not every fanout path from 'new_n10' crosses EBO,0.00010420894250273705,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;new_n10;new_n11,p1,new_n12;new_n13;p1
