trajectory_id,checkpoint_id,checkpoint_index,pass_name,cec_status,abc_output,runtime_s,unsupported_reason,schema_version
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,3,dc2,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__refactor_dc2/cp003_dc2_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.035356,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__mild_balance_rewrite/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__mild_balance_rewrite/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.032699,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,2,balance,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__mild_balance_rewrite/cp002_balance_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.035747,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__mild_balance_rewrite/cp003_rewrite_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.035891,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.033826,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp002_rewrite_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.034939,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,3,balance,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp003_balance_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.032394,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.032937,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,2,refactor,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp002_refactor_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.033223,,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,3,dc2,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_and_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp003_dc2_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.035452,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__mild_balance_rewrite/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__mild_balance_rewrite/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.033746,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp002_balance_1,2,balance,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__mild_balance_rewrite/cp002_balance_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.033143,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__mild_balance_rewrite/cp003_rewrite_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.035271,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__rewrite_then_balance/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__rewrite_then_balance/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.033518,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__rewrite_then_balance/cp002_rewrite_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.031629,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp003_balance_1,3,balance,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__rewrite_then_balance/cp003_balance_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.032313,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__refactor_dc2/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__refactor_dc2/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.035408,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp002_refactor_1,2,refactor,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__refactor_dc2/cp002_refactor_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.032382,,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,3,dc2,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_nonmonotonic_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__refactor_dc2/cp003_dc2_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.035292,,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__mild_balance_rewrite/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__mild_balance_rewrite/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.033286,,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp002_balance_1,2,balance,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__mild_balance_rewrite/cp002_balance_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.032190,,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__mild_balance_rewrite/cp003_rewrite_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.033152,,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__rewrite_then_balance/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__rewrite_then_balance/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.031859,,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp002_rewrite_1,2,rewrite,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__rewrite_then_balance/cp002_rewrite_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.034146,,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp003_balance_1,3,balance,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__rewrite_then_balance/cp003_balance_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.034957,,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__refactor_dc2/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__refactor_dc2/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.032766,,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp002_refactor_1,2,refactor,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__refactor_dc2/cp002_refactor_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.034982,,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp003_dc2_1,3,dc2,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__refactor_dc2/cp003_dc2_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.034142,,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__mild_balance_rewrite/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__mild_balance_rewrite/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.031341,,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp002_balance_1,2,balance,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/real/hand_written/full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__mild_balance_rewrite/cp002_balance_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.035467,,semantic_recoverability_frontier_v1
