trajectory_id,checkpoint_id,boundary_id,residual_set,residual_width,search_status,solver_result,minimum_status,residual_lower_bound,residual_upper_bound,runtime_s,timeout,schema_version
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp000_source,controlled_and_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000988,false,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,controlled_and_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000744,false,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled_and_factor__b0,[],0,non_decomposable,sat,excluded_or_nonminimum,0,,0.001088,false,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled_and_factor__b0,"[""x0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001126,false,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled_and_factor__b0,"[""x1""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001120,false,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled_and_factor__b0,"[""r0""]",1,decomposable,unsat,exact_minimum,1,1,0.001110,false,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,controlled_and_factor__b0,[],0,non_decomposable,sat,excluded_or_nonminimum,0,,0.001042,false,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,controlled_and_factor__b0,"[""x0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001066,false,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,controlled_and_factor__b0,"[""x1""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001066,false,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,controlled_and_factor__b0,"[""r0""]",1,decomposable,unsat,exact_minimum,1,1,0.001048,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,controlled_nonmonotonic_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001475,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,controlled_nonmonotonic_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000868,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp002_balance_1,controlled_nonmonotonic_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000858,false,semantic_recoverability_frontier_v1
