tool,version,path,status,schema_version
python,3.11.15,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/.venv-z3/bin/python,available,semantic_recoverability_frontier_v1
z3,4.16.0,python:z3,available,semantic_recoverability_frontier_v1
abc,"UC Berkeley, ABC 1.01 (compiled Jul 18 2026 19:53:19)",.abc_build/abc_repo/abc,available,semantic_recoverability_frontier_v1
yosys,,,unavailable,semantic_recoverability_frontier_v1
