trajectory_id,checkpoint_id,checkpoint_index,pass_name,node_count,edge_count,level_count,input_count,output_count,internal_fanout_sum,schema_version
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp002_refactor_1,2,refactor,7,14,4,3,1,6,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,3,dc2,6,12,4,3,1,6,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp000_source,0,source,6,13,2,3,2,4,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp001_strash_1,1,strash,11,22,4,3,2,10,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp002_balance_1,2,balance,11,22,4,3,2,10,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,11,22,4,3,2,10,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp000_source,0,source,6,13,2,3,2,4,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp001_strash_1,1,strash,11,22,4,3,2,10,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp002_rewrite_1,2,rewrite,11,22,4,3,2,10,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp003_balance_1,3,balance,11,22,4,3,2,10,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp000_source,0,source,6,13,2,3,2,4,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp001_strash_1,1,strash,11,22,4,3,2,10,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp002_refactor_1,2,refactor,10,20,4,3,2,10,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp003_dc2_1,3,dc2,8,16,5,3,2,9,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp000_source,0,source,6,13,2,3,2,4,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,1,strash,11,22,4,3,2,10,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp002_balance_1,2,balance,11,22,4,3,2,10,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,11,22,4,3,2,10,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp000_source,0,source,6,13,2,3,2,4,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp001_strash_1,1,strash,11,22,4,3,2,10,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp002_rewrite_1,2,rewrite,11,22,4,3,2,10,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp003_balance_1,3,balance,11,22,4,3,2,10,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp000_source,0,source,6,13,2,3,2,4,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp001_strash_1,1,strash,11,22,4,3,2,10,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp002_refactor_1,2,refactor,10,20,4,3,2,10,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp003_dc2_1,3,dc2,8,16,5,3,2,9,semantic_recoverability_frontier_v1
