trajectory_id,checkpoint_id,checkpoint_index,pass_name,blif_path,sha256,artifact_status,artifact_exists,parse_status,schema_version
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp000_source.blif,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp001_strash_1.blif,fe45721eb06d06ac7be5dd66f7869068fbe78b7ebef21d2d9fd2f94e5e8b28c2,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp002_rewrite_1.blif,54ce214415fe4e952607b89dfb388921443f9d90738c3c1927e7c1226b03f7d8,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,3,balance,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp003_balance_1.blif,ae43d99868340aeb2bf1cf1ce1a220d39b649d27a81073637c067c17a762f9d3,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp000_source.blif,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp001_strash_1.blif,4fa3cfe6ac296fd1ca6c28f5c3860829b228ce1a40c682397d7ed2e9a03ead97,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,2,refactor,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp002_refactor_1.blif,6929a53dba23fc902e548fb3916a611b1846fd0b7964b5555a316a0df4b6ac19,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,3,dc2,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp003_dc2_1.blif,3fb257a2759d72735ad2e85428315ed52420f67cd51b243fa0b7ef8bb367200d,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__mild_balance_rewrite/cp000_source.blif,4320012065e8c9b01d98afc4b28d3f410cfb9314f8785eaac3758dfc2c9d8527,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__mild_balance_rewrite/cp001_strash_1.blif,dcc75f0e625787ae6377917d62113d76335b2ee21a62b89d5eda833c8c35b93e,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp002_balance_1,2,balance,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__mild_balance_rewrite/cp002_balance_1.blif,6eec9d97fa5b8869c5c81296ccc3c2c64a35b1bfef45e909a1c490b59f12e828,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__mild_balance_rewrite/cp003_rewrite_1.blif,a8639773adbd4f5a684e8fec9b728f8244881032d962c0fa4a835ab646946ed1,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__rewrite_then_balance/cp000_source.blif,4320012065e8c9b01d98afc4b28d3f410cfb9314f8785eaac3758dfc2c9d8527,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__rewrite_then_balance/cp001_strash_1.blif,dcc75f0e625787ae6377917d62113d76335b2ee21a62b89d5eda833c8c35b93e,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__rewrite_then_balance/cp002_rewrite_1.blif,ff2b846dd80b38c74e6b0199f087299dcaaefc30d96b4d9b45c1f08269001e4d,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp003_balance_1,3,balance,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__rewrite_then_balance/cp003_balance_1.blif,af37c7f69f090a7fcbea53c263918bde7d4b101e3582671908f5d23c3f73d1cf,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__refactor_dc2/cp000_source.blif,4320012065e8c9b01d98afc4b28d3f410cfb9314f8785eaac3758dfc2c9d8527,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__refactor_dc2/cp001_strash_1.blif,dcc75f0e625787ae6377917d62113d76335b2ee21a62b89d5eda833c8c35b93e,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp002_refactor_1,2,refactor,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__refactor_dc2/cp002_refactor_1.blif,064ce88622d737e67f0a5230b8b53cd89741872f8549d20cbcbd4e18a0337ba2,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,3,dc2,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__refactor_dc2/cp003_dc2_1.blif,524e12b38313343a71f70c360513c2f20b348cf48a6bd6d02af948adda413ff4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__mild_balance_rewrite/cp000_source.blif,954a446fceec1933095602fe50dee67a83a5c2e6a0cc946ee289009d634adc42,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__mild_balance_rewrite/cp001_strash_1.blif,78412eb72b6ef4bc245c061735387ded2994f09f017824cf97040cb6b47029f4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
